Time,Channel A,Channel B
(us),(V),(V)

-2.50138178,0.00000000,0.18897640
-2.50058178,0.00000000,0.18897640
-2.49978178,0.00000000,0.18897640
-2.49898178,0.03937008,0.18897640
-2.49818178,0.07874016,0.18897640
-2.49738178,0.07874016,0.20472440
-2.49658178,0.07874016,0.20472440
-2.49578178,0.07874016,0.18897640
-2.49498178,0.07874016,0.20472440
-2.49418178,0.07874016,0.20472440
-2.49338178,0.07874016,0.20472440
-2.49258178,0.07874016,0.18897640
-2.49178178,0.07874016,0.20472440
-2.49098178,0.07874016,0.20472440
-2.49018178,0.03937008,0.20472440
-2.48938178,0.03937008,0.20472440
-2.48858178,0.03937008,0.18897640
-2.48778178,0.03937008,0.20472440
-2.48698178,0.03937008,0.20472440
-2.48618178,0.03937008,0.20472440
-2.48538178,0.03937008,0.20472440
-2.48458178,0.00000000,0.18897640
-2.48378178,0.03937008,0.18897640
-2.48298178,0.00000000,0.18897640
-2.48218178,0.00000000,0.18897640
-2.48138178,-0.03937008,0.18897640
-2.48058178,0.00000000,0.18897640
-2.47978178,0.03937008,0.18897640
-2.47898178,0.03937008,0.18897640
-2.47818178,0.00000000,0.18897640
-2.47738178,0.03937008,0.18897640
-2.47658178,0.00000000,0.18897640
-2.47578178,0.03937008,0.18897640
-2.47498178,0.00000000,0.18897640
-2.47418178,0.03937008,0.18897640
-2.47338178,0.03937008,0.20472440
-2.47258178,0.07874016,0.18897640
-2.47178178,0.07874016,0.20472440
-2.47098178,0.11811020,0.20472440
-2.47018178,0.11811020,0.20472440
-2.46938178,0.11811020,0.18897640
-2.46858178,0.07874016,0.18897640
-2.46778178,0.07874016,0.18897640
-2.46698178,0.07874016,0.18897640
-2.46618178,0.03937008,0.18897640
-2.46538178,0.03937008,0.18897640
-2.46458178,0.00000000,0.18897640
-2.46378178,-0.03937008,0.18897640
-2.46298178,-0.03937008,0.18897640
-2.46218178,-0.03937008,0.18897640
-2.46138178,-0.03937008,0.18897640
-2.46058178,-0.03937008,0.18897640
-2.45978178,0.00000000,0.18897640
-2.45898178,0.00000000,0.17322840
-2.45818178,0.03937008,0.18897640
-2.45738178,0.03937008,0.18897640
-2.45658178,0.00000000,0.18897640
-2.45578178,0.03937008,0.18897640
-2.45498178,0.03937008,0.18897640
-2.45418178,0.03937008,0.18897640
-2.45338178,0.03937008,0.22047240
-2.45258178,0.03937008,0.20472440
-2.45178178,0.07874016,0.20472440
-2.45098178,0.07874016,0.20472440
-2.45018178,0.07874016,0.18897640
-2.44938178,0.03937008,0.20472440
-2.44858178,0.03937008,0.20472440
-2.44778178,0.07874016,0.20472440
-2.44698178,0.03937008,0.22047240
-2.44618178,0.03937008,0.20472440
-2.44538178,0.03937008,0.20472440
-2.44458178,0.03937008,0.18897640
-2.44378178,0.03937008,0.18897640
-2.44298178,0.03937008,0.20472440
-2.44218178,0.03937008,0.20472440
-2.44138178,0.03937008,0.18897640
-2.44058178,0.03937008,0.18897640
-2.43978178,0.03937008,0.18897640
-2.43898178,0.03937008,0.18897640
-2.43818178,0.00000000,0.17322840
-2.43738178,-0.03937008,0.18897640
-2.43658178,-0.03937008,0.17322840
-2.43578178,-0.03937008,0.18897640
-2.43498178,-0.03937008,0.18897640
-2.43418178,0.00000000,0.18897640
-2.43338178,0.00000000,0.18897640
-2.43258178,0.03937008,0.18897640
-2.43178178,0.03937008,0.18897640
-2.43098178,0.07874016,0.20472440
-2.43018178,0.07874016,0.18897640
-2.42938178,0.07874016,0.18897640
-2.42858178,0.11811020,0.20472440
-2.42778178,0.07874016,0.20472440
-2.42698178,0.07874016,0.20472440
-2.42618178,0.11811020,0.22047240
-2.42538178,0.07874016,0.22047240
-2.42458178,0.03937008,0.20472440
-2.42378178,0.03937008,0.20472440
-2.42298178,0.03937008,0.20472440
-2.42218178,0.03937008,0.20472440
-2.42138178,0.03937008,0.18897640
-2.42058178,0.03937008,0.20472440
-2.41978178,0.00000000,0.20472440
-2.41898178,0.00000000,0.18897640
-2.41818178,0.00000000,0.18897640
-2.41738178,0.00000000,0.18897640
-2.41658178,0.03937008,0.18897640
-2.41578178,0.03937008,0.18897640
-2.41498178,0.00000000,0.18897640
-2.41418178,0.03937008,0.18897640
-2.41338178,0.03937008,0.18897640
-2.41258178,0.00000000,0.18897640
-2.41178178,0.03937008,0.20472440
-2.41098178,0.00000000,0.18897640
-2.41018178,0.00000000,0.18897640
-2.40938178,0.03937008,0.20472440
-2.40858178,0.03937008,0.20472440
-2.40778178,0.03937008,0.20472440
-2.40698178,0.03937008,0.20472440
-2.40618178,0.03937008,0.18897640
-2.40538178,0.07874016,0.20472440
-2.40458178,0.07874016,0.20472440
-2.40378178,0.11811020,0.20472440
-2.40298178,0.11811020,0.20472440
-2.40218178,0.07874016,0.20472440
-2.40138178,0.07874016,0.20472440
-2.40058178,0.03937008,0.18897640
-2.39978178,0.03937008,0.20472440
-2.39898178,0.03937008,0.18897640
-2.39818178,0.00000000,0.18897640
-2.39738178,0.00000000,0.18897640
-2.39658178,0.00000000,0.18897640
-2.39578178,-0.03937008,0.18897640
-2.39498178,0.00000000,0.18897640
-2.39418178,-0.03937008,0.18897640
-2.39338178,-0.03937008,0.18897640
-2.39258178,0.00000000,0.18897640
-2.39178178,0.00000000,0.18897640
-2.39098178,0.03937008,0.18897640
-2.39018178,0.00000000,0.18897640
-2.38938178,0.00000000,0.18897640
-2.38858178,0.03937008,0.18897640
-2.38778178,0.03937008,0.18897640
-2.38698178,0.03937008,0.20472440
-2.38618178,0.03937008,0.20472440
-2.38538178,0.03937008,0.18897640
-2.38458178,0.07874016,0.20472440
-2.38378178,0.07874016,0.20472440
-2.38298178,0.07874016,0.20472440
-2.38218178,0.07874016,0.20472440
-2.38138178,0.03937008,0.20472440
-2.38058178,0.03937008,0.20472440
-2.37978178,0.03937008,0.20472440
-2.37898178,0.03937008,0.20472440
-2.37818178,0.03937008,0.18897640
-2.37738178,0.03937008,0.18897640
-2.37658178,0.07874016,0.18897640
-2.37578178,0.03937008,0.18897640
-2.37498178,0.03937008,0.18897640
-2.37418178,0.03937008,0.18897640
-2.37338178,0.03937008,0.18897640
-2.37258178,0.03937008,0.18897640
-2.37178178,-0.03937008,0.18897640
-2.37098178,0.00000000,0.18897640
-2.37018178,-0.07874016,0.18897640
-2.36938178,-0.03937008,0.17322840
-2.36858178,-0.07874016,0.18897640
-2.36778178,0.03937008,0.18897640
-2.36698178,0.00000000,0.18897640
-2.36618178,0.00000000,0.18897640
-2.36538178,0.07874016,0.18897640
-2.36458178,0.07874016,0.18897640
-2.36378178,0.03937008,0.18897640
-2.36298178,0.07874016,0.18897640
-2.36218178,0.07874016,0.18897640
-2.36138178,0.07874016,0.20472440
-2.36058178,0.07874016,0.20472440
-2.35978178,0.07874016,0.20472440
-2.35898178,0.07874016,0.20472440
-2.35818178,0.07874016,0.20472440
-2.35738178,0.07874016,0.22047240
-2.35658178,0.03937008,0.20472440
-2.35578178,0.03937008,0.20472440
-2.35498178,0.03937008,0.18897640
-2.35418178,0.03937008,0.20472440
-2.35338178,0.03937008,0.20472440
-2.35258178,0.00000000,0.18897640
-2.35178178,0.03937008,0.20472440
-2.35098178,0.00000000,0.18897640
-2.35018178,0.00000000,0.18897640
-2.34938178,0.00000000,0.18897640
-2.34858178,0.00000000,0.18897640
-2.34778178,0.00000000,0.18897640
-2.34698178,0.03937008,0.18897640
-2.34618178,0.03937008,0.18897640
-2.34538178,0.00000000,0.18897640
-2.34458178,0.03937008,0.18897640
-2.34378178,0.03937008,0.18897640
-2.34298178,0.03937008,0.18897640
-2.34218178,0.03937008,0.18897640
-2.34138178,0.00000000,0.20472440
-2.34058178,0.03937008,0.20472440
-2.33978178,0.03937008,0.18897640
-2.33898178,0.07874016,0.18897640
-2.33818178,0.11811020,0.20472440
-2.33738178,0.07874016,0.22047240
-2.33658178,0.11811020,0.20472440
-2.33578178,0.11811020,0.20472440
-2.33498178,0.07874016,0.20472440
-2.33418178,0.07874016,0.18897640
-2.33338178,0.03937008,0.20472440
-2.33258178,0.03937008,0.18897640
-2.33178178,0.00000000,0.20472440
-2.33098178,0.00000000,0.18897640
-2.33018178,0.00000000,0.18897640
-2.32938178,0.00000000,0.18897640
-2.32858178,0.00000000,0.18897640
-2.32778178,0.00000000,0.18897640
-2.32698178,0.00000000,0.18897640
-2.32618178,0.00000000,0.18897640
-2.32538178,0.00000000,0.18897640
-2.32458178,0.03937008,0.18897640
-2.32378178,0.03937008,0.18897640
-2.32298178,0.00000000,0.18897640
-2.32218178,0.03937008,0.18897640
-2.32138178,0.03937008,0.18897640
-2.32058178,0.07874016,0.18897640
-2.31978178,0.03937008,0.18897640
-2.31898178,0.03937008,0.20472440
-2.31818178,0.07874016,0.20472440
-2.31738178,0.07874016,0.18897640
-2.31658178,0.07874016,0.20472440
-2.31578178,0.07874016,0.20472440
-2.31498178,0.03937008,0.20472440
-2.31418178,0.03937008,0.22047240
-2.31338178,0.03937008,0.20472440
-2.31258178,0.03937008,0.20472440
-2.31178178,0.03937008,0.20472440
-2.31098178,0.00000000,0.20472440
-2.31018178,0.03937008,0.18897640
-2.30938178,0.07874016,0.18897640
-2.30858178,0.03937008,0.20472440
-2.30778178,0.03937008,0.18897640
-2.30698178,0.03937008,0.18897640
-2.30618178,0.03937008,0.18897640
-2.30538178,0.00000000,0.18897640
-2.30458178,-0.03937008,0.18897640
-2.30378178,-0.03937008,0.18897640
-2.30298178,-0.03937008,0.17322840
-2.30218178,-0.03937008,0.18897640
-2.30138178,0.00000000,0.18897640
-2.30058178,0.00000000,0.18897640
-2.29978178,0.03937008,0.18897640
-2.29898178,0.03937008,0.18897640
-2.29818178,0.03937008,0.20472440
-2.29738178,0.07874016,0.20472440
-2.29658178,0.11811020,0.18897640
-2.29578178,0.07874016,0.20472440
-2.29498178,0.07874016,0.20472440
-2.29418178,0.07874016,0.20472440
-2.29338178,0.11811020,0.20472440
-2.29258178,0.07874016,0.20472440
-2.29178178,0.07874016,0.18897640
-2.29098178,0.03937008,0.20472440
-2.29018178,0.00000000,0.20472440
-2.28938178,0.03937008,0.20472440
-2.28858178,0.03937008,0.18897640
-2.28778178,0.00000000,0.20472440
-2.28698178,0.03937008,0.18897640
-2.28618178,0.00000000,0.18897640
-2.28538178,0.00000000,0.18897640
-2.28458178,0.00000000,0.18897640
-2.28378178,-0.03937008,0.18897640
-2.28298178,0.00000000,0.18897640
-2.28218178,0.00000000,0.18897640
-2.28138178,0.00000000,0.18897640
-2.28058178,0.00000000,0.18897640
-2.27978178,0.03937008,0.18897640
-2.27898178,0.03937008,0.18897640
-2.27818178,0.03937008,0.18897640
-2.27738178,0.03937008,0.18897640
-2.27658178,0.00000000,0.18897640
-2.27578178,0.00000000,0.18897640
-2.27498178,0.03937008,0.20472440
-2.27418178,0.03937008,0.20472440
-2.27338178,0.03937008,0.20472440
-2.27258178,0.03937008,0.20472440
-2.27178178,0.07874016,0.20472440
-2.27098178,0.07874016,0.20472440
-2.27018178,0.11811020,0.20472440
-2.26938178,0.11811020,0.20472440
