Time,Channel A,Channel B
(us),(V),(V)

-2.50090898,-0.03937008,0.18897640
-2.50010898,0.00000000,0.18897640
-2.49930898,0.00000000,0.18897640
-2.49850898,0.03937008,0.18897640
-2.49770898,0.07874016,0.18897640
-2.49690898,0.07874016,0.20472440
-2.49610898,0.07874016,0.18897640
-2.49530898,0.11811020,0.18897640
-2.49450898,0.07874016,0.18897640
-2.49370898,0.11811020,0.20472440
-2.49290898,0.07874016,0.22047240
-2.49210898,0.07874016,0.22047240
-2.49130898,0.07874016,0.20472440
-2.49050898,0.07874016,0.20472440
-2.48970898,0.03937008,0.22047240
-2.48890898,0.03937008,0.20472440
-2.48810898,0.03937008,0.20472440
-2.48730898,0.03937008,0.20472440
-2.48650898,0.03937008,0.20472440
-2.48570898,0.03937008,0.20472440
-2.48490898,0.00000000,0.20472440
-2.48410898,0.03937008,0.20472440
-2.48330898,0.00000000,0.18897640
-2.48250898,0.03937008,0.18897640
-2.48170898,0.03937008,0.20472440
-2.48090898,0.03937008,0.18897640
-2.48010898,0.07874016,0.18897640
-2.47930898,0.03937008,0.17322840
-2.47850898,0.03937008,0.18897640
-2.47770898,0.00000000,0.18897640
-2.47690898,0.00000000,0.18897640
-2.47610898,0.00000000,0.18897640
-2.47530898,-0.03937008,0.18897640
-2.47450898,0.00000000,0.18897640
-2.47370898,0.00000000,0.20472440
-2.47290898,0.03937008,0.20472440
-2.47210898,0.07874016,0.20472440
-2.47130898,0.07874016,0.20472440
-2.47050898,0.11811020,0.18897640
-2.46970898,0.15748030,0.18897640
-2.46890898,0.11811020,0.20472440
-2.46810898,0.11811020,0.20472440
-2.46730898,0.11811020,0.20472440
-2.46650898,0.07874016,0.18897640
-2.46570898,0.03937008,0.20472440
-2.46490898,0.00000000,0.18897640
-2.46410898,0.00000000,0.20472440
-2.46330898,0.00000000,0.18897640
-2.46250898,-0.03937008,0.18897640
-2.46170898,0.00000000,0.20472440
-2.46090898,0.00000000,0.18897640
-2.46010898,0.00000000,0.18897640
-2.45930898,0.00000000,0.18897640
-2.45850898,0.03937008,0.18897640
-2.45770898,0.00000000,0.18897640
-2.45690898,0.03937008,0.18897640
-2.45610898,0.00000000,0.20472440
-2.45530898,0.03937008,0.18897640
-2.45450898,0.03937008,0.18897640
-2.45370898,0.03937008,0.20472440
-2.45290898,0.03937008,0.20472440
-2.45210898,0.07874016,0.20472440
-2.45130898,0.07874016,0.18897640
-2.45050898,0.07874016,0.18897640
-2.44970898,0.03937008,0.20472440
-2.44890898,0.03937008,0.20472440
-2.44810898,0.07874016,0.20472440
-2.44730898,0.03937008,0.20472440
-2.44650898,0.03937008,0.22047240
-2.44570898,0.03937008,0.20472440
-2.44490898,0.03937008,0.20472440
-2.44410898,0.03937008,0.20472440
-2.44330898,0.07874016,0.20472440
-2.44250898,0.07874016,0.20472440
-2.44170898,0.07874016,0.20472440
-2.44090898,0.07874016,0.18897640
-2.44010898,0.07874016,0.18897640
-2.43930898,0.00000000,0.18897640
-2.43850898,0.03937008,0.18897640
-2.43770898,0.00000000,0.18897640
-2.43690898,-0.03937008,0.18897640
-2.43610898,-0.03937008,0.18897640
-2.43530898,-0.07874016,0.18897640
-2.43450898,-0.03937008,0.18897640
-2.43370898,0.00000000,0.18897640
-2.43290898,0.00000000,0.18897640
-2.43210898,0.03937008,0.20472440
-2.43130898,0.03937008,0.18897640
-2.43050898,0.03937008,0.20472440
-2.42970898,0.07874016,0.20472440
-2.42890898,0.11811020,0.20472440
-2.42810898,0.11811020,0.20472440
-2.42730898,0.11811020,0.20472440
-2.42650898,0.11811020,0.20472440
-2.42570898,0.11811020,0.22047240
-2.42490898,0.07874016,0.22047240
-2.42410898,0.07874016,0.20472440
-2.42330898,0.03937008,0.22047240
-2.42250898,0.03937008,0.20472440
-2.42170898,0.03937008,0.20472440
-2.42090898,0.03937008,0.20472440
-2.42010898,0.03937008,0.20472440
-2.41930898,0.03937008,0.20472440
-2.41850898,0.00000000,0.20472440
-2.41770898,0.03937008,0.18897640
-2.41690898,0.03937008,0.20472440
-2.41610898,0.03937008,0.18897640
-2.41530898,0.00000000,0.20472440
-2.41450898,0.00000000,0.18897640
-2.41370898,0.03937008,0.18897640
-2.41290898,0.03937008,0.18897640
-2.41210898,0.03937008,0.18897640
-2.41130898,0.00000000,0.18897640
-2.41050898,-0.03937008,0.18897640
-2.40970898,0.00000000,0.18897640
-2.40890898,0.00000000,0.18897640
-2.40810898,0.00000000,0.20472440
-2.40730898,0.00000000,0.18897640
-2.40650898,0.03937008,0.20472440
-2.40570898,0.03937008,0.18897640
-2.40490898,0.07874016,0.18897640
-2.40410898,0.11811020,0.18897640
-2.40330898,0.11811020,0.18897640
-2.40250898,0.15748030,0.20472440
-2.40170898,0.15748030,0.20472440
-2.40090898,0.07874016,0.20472440
-2.40010898,0.07874016,0.20472440
-2.39930898,0.07874016,0.20472440
-2.39850898,0.03937008,0.20472440
-2.39770898,0.03937008,0.18897640
-2.39690898,0.00000000,0.18897640
-2.39610898,-0.03937008,0.18897640
-2.39530898,-0.03937008,0.20472440
-2.39450898,-0.03937008,0.20472440
-2.39370898,-0.03937008,0.18897640
-2.39290898,-0.03937008,0.18897640
-2.39210898,0.00000000,0.18897640
-2.39130898,0.00000000,0.18897640
-2.39050898,0.03937008,0.18897640
-2.38970898,0.03937008,0.18897640
-2.38890898,0.07874016,0.18897640
-2.38810898,0.03937008,0.20472440
-2.38730898,0.03937008,0.18897640
-2.38650898,0.07874016,0.18897640
-2.38570898,0.03937008,0.20472440
-2.38490898,0.03937008,0.18897640
-2.38410898,0.03937008,0.20472440
-2.38330898,0.07874016,0.20472440
-2.38250898,0.03937008,0.18897640
-2.38170898,0.03937008,0.22047240
-2.38090898,0.03937008,0.22047240
-2.38010898,0.07874016,0.18897640
-2.37930898,0.03937008,0.18897640
-2.37850898,0.03937008,0.20472440
-2.37770898,0.11811020,0.18897640
-2.37690898,0.07874016,0.18897640
-2.37610898,0.07874016,0.18897640
-2.37530898,0.07874016,0.20472440
-2.37450898,0.07874016,0.20472440
-2.37370898,0.07874016,0.20472440
-2.37290898,0.03937008,0.18897640
-2.37210898,0.03937008,0.18897640
-2.37130898,0.00000000,0.17322840
-2.37050898,-0.03937008,0.18897640
-2.36970898,-0.03937008,0.18897640
-2.36890898,-0.07874016,0.18897640
-2.36810898,-0.03937008,0.18897640
-2.36730898,-0.03937008,0.18897640
-2.36650898,0.03937008,0.18897640
-2.36570897,0.03937008,0.18897640
-2.36490897,0.03937008,0.18897640
-2.36410897,0.03937008,0.18897640
-2.36330897,0.07874016,0.20472440
-2.36250897,0.11811020,0.18897640
-2.36170897,0.11811020,0.20472440
-2.36090897,0.07874016,0.20472440
-2.36010897,0.11811020,0.20472440
-2.35930897,0.07874016,0.20472440
-2.35850897,0.07874016,0.20472440
-2.35770897,0.07874016,0.22047240
-2.35690897,0.07874016,0.20472440
-2.35610897,0.03937008,0.20472440
-2.35530897,0.03937008,0.20472440
-2.35450897,0.03937008,0.20472440
-2.35370897,0.03937008,0.20472440
-2.35290897,0.00000000,0.18897640
-2.35210897,0.03937008,0.20472440
-2.35130897,0.00000000,0.18897640
-2.35050897,0.00000000,0.20472440
-2.34970897,0.03937008,0.18897640
-2.34890897,0.03937008,0.18897640
-2.34810897,0.03937008,0.17322840
-2.34730897,0.03937008,0.18897640
-2.34650897,0.03937008,0.18897640
-2.34570897,0.07874016,0.18897640
-2.34490897,0.03937008,0.18897640
-2.34410897,0.03937008,0.20472440
-2.34330897,0.00000000,0.18897640
-2.34250897,-0.03937008,0.18897640
-2.34170897,-0.03937008,0.20472440
-2.34090897,0.00000000,0.20472440
-2.34010897,0.03937008,0.20472440
-2.33930897,0.03937008,0.18897640
-2.33850897,0.03937008,0.18897640
-2.33770897,0.07874016,0.20472440
-2.33690897,0.11811020,0.20472440
-2.33610897,0.11811020,0.18897640
-2.33530897,0.15748030,0.20472440
-2.33450897,0.11811020,0.20472440
-2.33370897,0.07874016,0.20472440
-2.33290897,0.03937008,0.18897640
-2.33210897,0.03937008,0.20472440
-2.33130897,0.03937008,0.18897640
-2.33050897,0.00000000,0.18897640
-2.32970897,0.00000000,0.18897640
-2.32890897,-0.03937008,0.20472440
-2.32810897,-0.03937008,0.18897640
-2.32730897,0.00000000,0.18897640
-2.32650897,-0.03937008,0.18897640
-2.32570897,0.00000000,0.18897640
-2.32490897,0.00000000,0.18897640
-2.32410897,0.00000000,0.20472440
-2.32330897,0.03937008,0.18897640
-2.32250897,0.03937008,0.18897640
-2.32170897,0.03937008,0.20472440
-2.32090897,0.03937008,0.18897640
-2.32010897,0.03937008,0.20472440
-2.31930897,0.03937008,0.18897640
-2.31850897,0.07874016,0.20472440
-2.31770897,0.03937008,0.20472440
-2.31690897,0.03937008,0.20472440
-2.31610897,0.03937008,0.20472440
-2.31530897,0.03937008,0.20472440
-2.31450897,0.03937008,0.18897640
-2.31370897,0.03937008,0.20472440
-2.31290897,0.00000000,0.20472440
-2.31210897,0.00000000,0.20472440
-2.31130897,0.03937008,0.20472440
-2.31050897,0.03937008,0.18897640
-2.30970897,0.07874016,0.18897640
-2.30890897,0.11811020,0.18897640
-2.30810897,0.07874016,0.20472440
-2.30730897,0.03937008,0.18897640
-2.30650897,0.03937008,0.18897640
-2.30570897,0.03937008,0.18897640
-2.30490897,0.03937008,0.17322840
-2.30410897,0.00000000,0.17322840
-2.30330897,-0.07874016,0.18897640
-2.30250897,-0.07874016,0.18897640
-2.30170897,-0.07874016,0.18897640
-2.30090897,0.00000000,0.18897640
-2.30010897,0.03937008,0.18897640
-2.29930897,0.03937008,0.18897640
-2.29850897,0.03937008,0.18897640
-2.29770897,0.03937008,0.20472440
-2.29690897,0.07874016,0.18897640
-2.29610897,0.11811020,0.18897640
-2.29530897,0.11811020,0.18897640
-2.29450897,0.11811020,0.20472440
-2.29370897,0.11811020,0.20472440
-2.29290897,0.07874016,0.20472440
-2.29210897,0.07874016,0.22047240
-2.29130897,0.07874016,0.20472440
-2.29050897,0.07874016,0.22047240
-2.28970897,0.03937008,0.22047240
-2.28890897,0.03937008,0.20472440
-2.28810897,0.03937008,0.20472440
-2.28730897,0.00000000,0.20472440
-2.28650897,0.00000000,0.20472440
-2.28570897,0.03937008,0.20472440
-2.28490897,0.00000000,0.18897640
-2.28410897,0.03937008,0.20472440
-2.28330897,0.00000000,0.20472440
-2.28250897,0.03937008,0.20472440
-2.28170897,0.00000000,0.18897640
-2.28090897,0.07874016,0.18897640
-2.28010897,0.03937008,0.18897640
-2.27930897,0.03937008,0.18897640
-2.27850897,0.03937008,0.18897640
-2.27770897,0.03937008,0.18897640
-2.27690897,0.03937008,0.18897640
-2.27610897,-0.03937008,0.18897640
-2.27530897,0.00000000,0.20472440
-2.27450897,0.00000000,0.18897640
-2.27370897,0.03937008,0.18897640
-2.27290897,0.07874016,0.20472440
-2.27210897,0.07874016,0.20472440
-2.27130897,0.07874016,0.18897640
-2.27050897,0.11811020,0.20472440
-2.26970897,0.11811020,0.20472440
-2.26890897,0.11811020,0.20472440
