Time,Channel A,Channel B
(us),(V),(V)

-2.45101547,0.07874016,0.09448819
-2.45021547,0.07874016,0.11023620
-2.44941547,0.03937008,0.11023620
-2.44861547,0.03937008,0.09448819
-2.44781547,0.03937008,0.09448819
-2.44701547,0.03937008,0.07874016
-2.44621547,0.03937008,0.09448819
-2.44541547,0.03937008,0.09448819
-2.44461547,0.07874016,0.09448819
-2.44381547,0.07874016,0.09448819
-2.44301547,0.03937008,0.09448819
-2.44221547,0.03937008,0.09448819
-2.44141547,0.00000000,0.07874016
-2.44061547,0.00000000,0.07874016
-2.43981547,0.00000000,0.07874016
-2.43901547,-0.03937008,0.09448819
-2.43821547,0.00000000,0.09448819
-2.43741547,0.00000000,0.11023620
-2.43661547,0.03937008,0.09448819
-2.43581547,0.03937008,0.09448819
-2.43501547,0.03937008,0.11023620
-2.43421547,0.03937008,0.11023620
-2.43341547,0.03937008,0.11023620
-2.43261547,0.07874016,0.12598430
-2.43181547,0.11811020,0.11023620
-2.43101547,0.11811020,0.11023620
-2.43021547,0.07874016,0.12598430
-2.42941547,0.07874016,0.12598430
-2.42861547,0.07874016,0.12598430
-2.42781547,0.07874016,0.12598430
-2.42701547,0.07874016,0.12598430
-2.42621547,0.07874016,0.12598430
-2.42541547,0.07874016,0.12598430
-2.42461547,0.07874016,0.12598430
-2.42381547,0.03937008,0.12598430
-2.42301547,0.03937008,0.11023620
-2.42221547,0.00000000,0.11023620
-2.42141547,0.03937008,0.11023620
-2.42061547,0.00000000,0.11023620
-2.41981547,0.03937008,0.11023620
-2.41901547,0.03937008,0.11023620
-2.41821547,0.00000000,0.11023620
-2.41741547,0.03937008,0.11023620
-2.41661547,0.03937008,0.11023620
-2.41581547,0.03937008,0.12598430
-2.41501547,0.03937008,0.12598430
-2.41421547,0.03937008,0.12598430
-2.41341547,0.03937008,0.12598430
-2.41261547,0.00000000,0.12598430
-2.41181547,0.00000000,0.12598430
-2.41101547,0.03937008,0.12598430
-2.41021547,0.03937008,0.12598430
-2.40941547,0.03937008,0.14173230
-2.40861547,0.07874016,0.12598430
-2.40781547,0.07874016,0.14173230
-2.40701547,0.11811020,0.14173230
-2.40621547,0.11811020,0.14173230
-2.40541547,0.11811020,0.12598430
-2.40461547,0.11811020,0.12598430
-2.40381547,0.07874016,0.12598430
-2.40301547,0.07874016,0.11023620
-2.40221547,0.03937008,0.11023620
-2.40141547,0.03937008,0.11023620
-2.40061547,0.03937008,0.11023620
-2.39981547,0.03937008,0.09448819
-2.39901547,0.00000000,0.09448819
-2.39821547,0.00000000,0.07874016
-2.39741547,0.00000000,0.07874016
-2.39661547,0.00000000,0.09448819
-2.39581547,0.00000000,0.07874016
-2.39501547,0.00000000,0.07874016
-2.39421547,0.03937008,0.07874016
-2.39341547,0.00000000,0.07874016
-2.39261547,0.00000000,0.07874016
-2.39181547,0.03937008,0.09448819
-2.39101547,0.03937008,0.07874016
-2.39021547,0.03937008,0.09448819
-2.38941547,0.07874016,0.09448819
-2.38861547,0.03937008,0.09448819
-2.38781547,0.07874016,0.09448819
-2.38701547,0.07874016,0.09448819
-2.38621547,0.07874016,0.09448819
-2.38541547,0.07874016,0.11023620
-2.38461547,0.03937008,0.11023620
-2.38381547,0.07874016,0.09448819
-2.38301547,0.03937008,0.09448819
-2.38221547,0.07874016,0.09448819
-2.38141547,0.03937008,0.09448819
-2.38061547,0.07874016,0.09448819
-2.37981547,0.03937008,0.09448819
-2.37901547,0.03937008,0.09448819
-2.37821547,0.07874016,0.09448819
-2.37741547,0.03937008,0.09448819
-2.37661547,0.03937008,0.07874016
-2.37581547,0.03937008,0.07874016
-2.37501547,0.00000000,0.07874016
-2.37421547,0.00000000,0.07874016
-2.37341547,0.00000000,0.07874016
-2.37261547,-0.03937008,0.09448819
-2.37181547,0.00000000,0.09448819
-2.37101547,0.03937008,0.09448819
-2.37021547,0.00000000,0.09448819
-2.36941547,0.00000000,0.09448819
-2.36861547,0.03937008,0.09448819
-2.36781547,0.03937008,0.09448819
-2.36701547,0.07874016,0.11023620
-2.36621547,0.07874016,0.11023620
-2.36541547,0.07874016,0.11023620
-2.36461547,0.11811020,0.11023620
-2.36381547,0.07874016,0.11023620
-2.36301547,0.07874016,0.12598430
-2.36221547,0.07874016,0.12598430
-2.36141547,0.07874016,0.12598430
-2.36061547,0.07874016,0.12598430
-2.35981547,0.07874016,0.12598430
-2.35901547,0.07874016,0.12598430
-2.35821547,0.03937008,0.12598430
-2.35741547,0.03937008,0.11023620
-2.35661547,0.03937008,0.11023620
-2.35581547,0.03937008,0.11023620
-2.35501547,0.03937008,0.11023620
-2.35421547,0.03937008,0.11023620
-2.35341547,0.00000000,0.11023620
-2.35261547,0.00000000,0.09448819
-2.35181547,0.00000000,0.11023620
-2.35101547,0.03937008,0.11023620
-2.35021547,0.03937008,0.11023620
-2.34941547,0.03937008,0.11023620
-2.34861547,0.03937008,0.11023620
-2.34781547,0.03937008,0.12598430
-2.34701547,0.03937008,0.12598430
-2.34621547,0.03937008,0.12598430
-2.34541547,0.03937008,0.11023620
-2.34461547,0.03937008,0.11023620
-2.34381547,0.03937008,0.12598430
-2.34301547,0.03937008,0.12598430
-2.34221547,0.03937008,0.12598430
-2.34141547,0.07874016,0.12598430
-2.34061547,0.07874016,0.14173230
-2.33981547,0.11811020,0.12598430
-2.33901547,0.07874016,0.12598430
-2.33821547,0.07874016,0.12598430
-2.33741547,0.07874016,0.12598430
-2.33661547,0.07874016,0.12598430
-2.33581547,0.03937008,0.11023620
-2.33501547,0.03937008,0.11023620
-2.33421547,0.03937008,0.11023620
-2.33341547,0.03937008,0.09448819
-2.33261547,0.03937008,0.09448819
-2.33181547,0.00000000,0.09448819
-2.33101547,0.00000000,0.09448819
-2.33021547,0.00000000,0.07874016
-2.32941547,0.03937008,0.09448819
-2.32861547,0.00000000,0.07874016
-2.32781547,0.00000000,0.07874016
-2.32701547,0.03937008,0.07874016
-2.32621547,0.03937008,0.06299213
-2.32541547,0.03937008,0.07874016
-2.32461547,0.03937008,0.09448819
-2.32381547,0.07874016,0.07874016
-2.32301547,0.07874016,0.07874016
-2.32221547,0.07874016,0.09448819
-2.32141547,0.07874016,0.09448819
-2.32061547,0.07874016,0.07874016
-2.31981547,0.07874016,0.09448819
-2.31901547,0.07874016,0.09448819
-2.31821547,0.07874016,0.09448819
-2.31741547,0.07874016,0.09448819
-2.31661547,0.07874016,0.09448819
-2.31581547,0.07874016,0.09448819
-2.31501547,0.03937008,0.07874016
-2.31421547,0.03937008,0.09448819
-2.31341547,0.07874016,0.07874016
-2.31261547,0.07874016,0.09448819
-2.31181547,0.03937008,0.07874016
-2.31101547,0.03937008,0.07874016
-2.31021547,0.07874016,0.07874016
-2.30941547,0.07874016,0.07874016
-2.30861547,0.03937008,0.07874016
-2.30781547,0.03937008,0.07874016
-2.30701547,0.00000000,0.07874016
-2.30621547,0.00000000,0.07874016
-2.30541547,-0.03937008,0.09448819
-2.30461547,-0.03937008,0.07874016
-2.30381547,0.00000000,0.09448819
-2.30301547,0.00000000,0.09448819
-2.30221547,0.03937008,0.09448819
-2.30141547,0.03937008,0.07874016
-2.30061547,0.07874016,0.11023620
-2.29981547,0.07874016,0.09448819
-2.29901547,0.07874016,0.11023620
-2.29821547,0.07874016,0.11023620
-2.29741547,0.07874016,0.11023620
-2.29661547,0.07874016,0.12598430
-2.29581547,0.07874016,0.12598430
-2.29501547,0.07874016,0.11023620
-2.29421547,0.07874016,0.12598430
-2.29341547,0.07874016,0.11023620
-2.29261547,0.07874016,0.11023620
-2.29181547,0.07874016,0.12598430
-2.29101547,0.03937008,0.11023620
-2.29021547,0.03937008,0.11023620
-2.28941547,0.00000000,0.11023620
-2.28861547,0.03937008,0.11023620
-2.28781547,0.00000000,0.11023620
-2.28701547,0.00000000,0.11023620
-2.28621547,0.00000000,0.11023620
-2.28541547,0.00000000,0.11023620
-2.28461547,0.03937008,0.11023620
-2.28381547,0.03937008,0.11023620
-2.28301547,0.03937008,0.11023620
-2.28221547,0.03937008,0.11023620
-2.28141547,0.03937008,0.11023620
-2.28061547,0.03937008,0.11023620
-2.27981547,0.00000000,0.11023620
-2.27901547,0.03937008,0.11023620
-2.27821547,0.03937008,0.12598430
-2.27741547,0.03937008,0.12598430
-2.27661547,0.03937008,0.12598430
-2.27581547,0.03937008,0.12598430
-2.27501547,0.07874016,0.12598430
-2.27421547,0.07874016,0.12598430
-2.27341547,0.07874016,0.12598430
-2.27261547,0.07874016,0.12598430
-2.27181547,0.07874016,0.11023620
-2.27101547,0.11811020,0.12598430
-2.27021547,0.07874016,0.12598430
-2.26941547,0.07874016,0.11023620
-2.26861547,0.07874016,0.11023620
-2.26781547,0.03937008,0.09448819
-2.26701547,0.03937008,0.09448819
-2.26621547,0.03937008,0.09448819
-2.26541547,0.03937008,0.09448819
-2.26461547,0.00000000,0.07874016
-2.26381547,0.03937008,0.06299213
-2.26301547,0.00000000,0.07874016
-2.26221547,0.03937008,0.06299213
-2.26141547,0.03937008,0.06299213
-2.26061547,0.00000000,0.07874016
-2.25981547,0.00000000,0.06299213
-2.25901547,0.03937008,0.07874016
-2.25821547,0.03937008,0.07874016
-2.25741547,0.03937008,0.07874016
-2.25661547,0.03937008,0.07874016
-2.25581547,0.03937008,0.07874016
-2.25501547,0.03937008,0.07874016
-2.25421547,0.11811020,0.09448819
-2.25341547,0.03937008,0.09448819
-2.25261547,0.07874016,0.09448819
-2.25181547,0.07874016,0.09448819
-2.25101547,0.07874016,0.07874016
-2.25021547,0.07874016,0.07874016
-2.24941547,0.07874016,0.09448819
-2.24861547,0.07874016,0.09448819
-2.24781547,0.03937008,0.09448819
-2.24701547,0.03937008,0.07874016
-2.24621547,0.03937008,0.07874016
-2.24541547,0.07874016,0.07874016
-2.24461547,0.07874016,0.07874016
-2.24381547,0.07874016,0.07874016
-2.24301547,0.03937008,0.07874016
-2.24221547,0.03937008,0.06299213
-2.24141547,0.03937008,0.06299213
-2.24061547,0.03937008,0.07874016
-2.23981547,0.00000000,0.07874016
-2.23901547,-0.03937008,0.07874016
-2.23821547,-0.03937008,0.07874016
-2.23741547,0.00000000,0.07874016
-2.23661547,0.00000000,0.09448819
-2.23581547,0.03937008,0.09448819
-2.23501547,0.03937008,0.09448819
-2.23421547,0.03937008,0.09448819
-2.23341547,0.07874016,0.09448819
-2.23261547,0.07874016,0.09448819
-2.23181547,0.07874016,0.11023620
-2.23101547,0.07874016,0.11023620
-2.23021547,0.07874016,0.11023620
-2.22941547,0.07874016,0.11023620
-2.22861547,0.07874016,0.11023620
-2.22781547,0.07874016,0.12598430
-2.22701547,0.07874016,0.12598430
-2.22621547,0.07874016,0.12598430
-2.22541547,0.03937008,0.12598430
-2.22461547,0.03937008,0.11023620
-2.22381547,0.03937008,0.11023620
-2.22301547,0.03937008,0.11023620
-2.22221547,0.03937008,0.11023620
-2.22141547,0.03937008,0.11023620
-2.22061547,0.03937008,0.12598430
-2.21981547,0.03937008,0.11023620
-2.21901547,0.03937008,0.11023620
-2.21821547,0.03937008,0.11023620
