Time,Channel A,Channel B
(us),(V),(V)

-2.50143148,-0.07874016,0.17322840
-2.50063148,0.00000000,0.18897640
-2.49983148,0.00000000,0.18897640
-2.49903148,0.03937008,0.18897640
-2.49823148,0.07874016,0.18897640
-2.49743148,0.07874016,0.18897640
-2.49663148,0.07874016,0.20472440
-2.49583148,0.07874016,0.20472440
-2.49503148,0.11811020,0.20472440
-2.49423148,0.11811020,0.20472440
-2.49343148,0.11811020,0.20472440
-2.49263148,0.11811020,0.22047240
-2.49183148,0.07874016,0.20472440
-2.49103148,0.07874016,0.22047240
-2.49023148,0.03937008,0.22047240
-2.48943148,0.03937008,0.20472440
-2.48863148,0.03937008,0.20472440
-2.48783148,0.03937008,0.20472440
-2.48703148,0.03937008,0.22047240
-2.48623148,0.03937008,0.20472440
-2.48543148,0.00000000,0.18897640
-2.48463148,0.00000000,0.20472440
-2.48383148,0.03937008,0.18897640
-2.48303148,0.03937008,0.18897640
-2.48223148,0.03937008,0.20472440
-2.48143148,0.03937008,0.18897640
-2.48063148,0.03937008,0.18897640
-2.47983148,0.03937008,0.18897640
-2.47903148,0.03937008,0.18897640
-2.47823148,0.00000000,0.18897640
-2.47743148,0.03937008,0.20472440
-2.47663148,0.00000000,0.18897640
-2.47583148,0.00000000,0.18897640
-2.47503148,0.00000000,0.18897640
-2.47423148,0.03937008,0.20472440
-2.47343148,0.03937008,0.20472440
-2.47263148,0.03937008,0.18897640
-2.47183148,0.07874016,0.20472440
-2.47103148,0.11811020,0.18897640
-2.47023148,0.11811020,0.18897640
-2.46943148,0.11811020,0.20472440
-2.46863148,0.15748030,0.20472440
-2.46783148,0.11811020,0.20472440
-2.46703148,0.07874016,0.20472440
-2.46623148,0.07874016,0.20472440
-2.46543148,0.03937008,0.18897640
-2.46463148,0.03937008,0.18897640
-2.46383148,0.00000000,0.18897640
-2.46303148,0.00000000,0.18897640
-2.46223148,0.00000000,0.18897640
-2.46143148,0.00000000,0.20472440
-2.46063148,0.00000000,0.18897640
-2.45983148,0.00000000,0.18897640
-2.45903148,0.00000000,0.18897640
-2.45823148,0.03937008,0.18897640
-2.45743148,0.03937008,0.18897640
-2.45663148,0.03937008,0.18897640
-2.45583148,0.03937008,0.18897640
-2.45503148,0.07874016,0.18897640
-2.45423148,0.07874016,0.20472440
-2.45343148,0.07874016,0.18897640
-2.45263148,0.07874016,0.18897640
-2.45183148,0.07874016,0.18897640
-2.45103148,0.03937008,0.20472440
-2.45023148,0.03937008,0.20472440
-2.44943148,0.03937008,0.22047240
-2.44863148,0.07874016,0.20472440
-2.44783148,0.03937008,0.20472440
-2.44703148,0.03937008,0.20472440
-2.44623148,0.03937008,0.20472440
-2.44543148,0.03937008,0.20472440
-2.44463148,0.03937008,0.20472440
-2.44383148,0.07874016,0.20472440
-2.44303148,0.07874016,0.20472440
-2.44223148,0.11811020,0.22047240
-2.44143148,0.11811020,0.20472440
-2.44063148,0.07874016,0.20472440
-2.43983148,0.03937008,0.18897640
-2.43903148,0.00000000,0.18897640
-2.43823148,0.00000000,0.18897640
-2.43743148,-0.03937008,0.18897640
-2.43663148,-0.03937008,0.18897640
-2.43583148,-0.07874016,0.18897640
-2.43503148,-0.03937008,0.18897640
-2.43423148,-0.03937008,0.18897640
-2.43343148,0.00000000,0.18897640
-2.43263148,0.03937008,0.18897640
-2.43183148,0.03937008,0.18897640
-2.43103148,0.07874016,0.18897640
-2.43023148,0.07874016,0.18897640
-2.42943148,0.11811020,0.20472440
-2.42863148,0.11811020,0.20472440
-2.42783148,0.11811020,0.20472440
-2.42703148,0.11811020,0.20472440
-2.42623148,0.07874016,0.20472440
-2.42543148,0.07874016,0.22047240
-2.42463148,0.07874016,0.20472440
-2.42383148,0.03937008,0.20472440
-2.42303148,0.03937008,0.22047240
-2.42223148,0.03937008,0.20472440
-2.42143148,0.03937008,0.20472440
-2.42063148,0.03937008,0.20472440
-2.41983148,0.03937008,0.20472440
-2.41903148,0.03937008,0.20472440
-2.41823148,0.03937008,0.20472440
-2.41743148,0.03937008,0.20472440
-2.41663148,0.07874016,0.18897640
-2.41583148,0.03937008,0.18897640
-2.41503148,0.03937008,0.18897640
-2.41423148,0.03937008,0.18897640
-2.41343148,0.03937008,0.20472440
-2.41263148,0.03937008,0.18897640
-2.41183148,0.03937008,0.18897640
-2.41103148,0.00000000,0.18897640
-2.41023148,0.00000000,0.18897640
-2.40943148,0.00000000,0.18897640
-2.40863148,0.00000000,0.20472440
-2.40783148,0.00000000,0.20472440
-2.40703148,0.03937008,0.20472440
-2.40623148,0.03937008,0.18897640
-2.40543148,0.07874016,0.20472440
-2.40463148,0.07874016,0.20472440
-2.40383148,0.11811020,0.20472440
-2.40303148,0.15748030,0.20472440
-2.40223148,0.15748030,0.20472440
-2.40143148,0.11811020,0.20472440
-2.40063148,0.07874016,0.18897640
-2.39983148,0.07874016,0.20472440
-2.39903148,0.07874016,0.20472440
-2.39823148,0.03937008,0.20472440
-2.39743148,0.00000000,0.20472440
-2.39663148,0.00000000,0.20472440
-2.39583148,-0.03937008,0.18897640
-2.39503148,-0.03937008,0.18897640
-2.39423148,-0.03937008,0.18897640
-2.39343148,-0.03937008,0.18897640
-2.39263148,0.00000000,0.18897640
-2.39183148,0.00000000,0.18897640
-2.39103148,0.00000000,0.18897640
-2.39023148,0.03937008,0.18897640
-2.38943148,0.07874016,0.18897640
-2.38863148,0.03937008,0.20472440
-2.38783148,0.07874016,0.18897640
-2.38703148,0.03937008,0.18897640
-2.38623148,0.07874016,0.18897640
-2.38543148,0.07874016,0.18897640
-2.38463148,0.07874016,0.20472440
-2.38383148,0.03937008,0.18897640
-2.38303148,0.07874016,0.20472440
-2.38223148,0.07874016,0.22047240
-2.38143148,0.03937008,0.20472440
-2.38063148,0.07874016,0.20472440
-2.37983148,0.03937008,0.20472440
-2.37903148,0.03937008,0.20472440
-2.37823148,0.03937008,0.20472440
-2.37743148,0.07874016,0.20472440
-2.37663148,0.07874016,0.20472440
-2.37583148,0.07874016,0.20472440
-2.37503148,0.07874016,0.22047240
-2.37423148,0.07874016,0.20472440
-2.37343148,0.03937008,0.20472440
-2.37263148,0.03937008,0.18897640
-2.37183148,0.03937008,0.18897640
-2.37103148,0.00000000,0.18897640
-2.37023148,-0.03937008,0.18897640
-2.36943148,-0.03937008,0.18897640
-2.36863148,-0.03937008,0.18897640
-2.36783148,0.00000000,0.18897640
-2.36703148,0.00000000,0.20472440
-2.36623148,0.00000000,0.18897640
-2.36543148,0.03937008,0.18897640
-2.36463148,0.07874016,0.18897640
-2.36383148,0.07874016,0.20472440
-2.36303148,0.11811020,0.20472440
-2.36223148,0.11811020,0.20472440
-2.36143148,0.11811020,0.18897640
-2.36063148,0.11811020,0.20472440
-2.35983148,0.07874016,0.20472440
-2.35903148,0.11811020,0.22047240
-2.35823148,0.11811020,0.22047240
-2.35743148,0.07874016,0.20472440
-2.35663148,0.03937008,0.22047240
-2.35583148,0.03937008,0.22047240
-2.35503148,0.03937008,0.20472440
-2.35423148,0.03937008,0.22047240
-2.35343148,0.00000000,0.20472440
-2.35263148,0.03937008,0.20472440
-2.35183148,0.03937008,0.20472440
-2.35103148,0.03937008,0.20472440
-2.35023148,0.03937008,0.18897640
-2.34943148,0.03937008,0.18897640
-2.34863148,0.03937008,0.18897640
-2.34783148,0.00000000,0.18897640
-2.34703148,0.03937008,0.18897640
-2.34623148,0.03937008,0.18897640
-2.34543148,0.03937008,0.18897640
-2.34463148,0.03937008,0.18897640
-2.34383148,0.00000000,0.18897640
-2.34303148,0.03937008,0.20472440
-2.34223148,0.00000000,0.18897640
-2.34143148,0.00000000,0.18897640
-2.34063148,0.03937008,0.20472440
-2.33983148,0.03937008,0.20472440
-2.33903148,0.03937008,0.18897640
-2.33823148,0.07874016,0.20472440
-2.33743148,0.11811020,0.20472440
-2.33663148,0.11811020,0.20472440
-2.33583148,0.11811020,0.20472440
-2.33503148,0.15748030,0.18897640
-2.33423148,0.11811020,0.20472440
-2.33343148,0.11811020,0.20472440
-2.33263148,0.07874016,0.20472440
-2.33183148,0.03937008,0.20472440
-2.33103148,0.00000000,0.20472440
-2.33023148,0.00000000,0.20472440
-2.32943148,0.00000000,0.18897640
-2.32863148,0.00000000,0.18897640
-2.32783148,0.00000000,0.18897640
-2.32703148,-0.03937008,0.20472440
-2.32623148,0.00000000,0.18897640
-2.32543148,0.00000000,0.18897640
-2.32463148,0.00000000,0.20472440
-2.32383148,0.03937008,0.20472440
-2.32303148,0.03937008,0.20472440
-2.32223148,0.03937008,0.18897640
-2.32143148,0.07874016,0.18897640
-2.32063148,0.07874016,0.20472440
-2.31983148,0.03937008,0.18897640
-2.31903148,0.07874016,0.18897640
-2.31823148,0.07874016,0.18897640
-2.31743148,0.07874016,0.18897640
-2.31663148,0.07874016,0.20472440
-2.31583148,0.03937008,0.20472440
-2.31503148,0.03937008,0.22047240
-2.31423148,0.07874016,0.22047240
-2.31343148,0.03937008,0.20472440
-2.31263148,0.03937008,0.20472440
-2.31183148,0.03937008,0.20472440
-2.31103148,0.07874016,0.20472440
-2.31023148,0.07874016,0.18897640
-2.30943148,0.11811020,0.18897640
-2.30863148,0.11811020,0.20472440
-2.30783148,0.11811020,0.20472440
-2.30703148,0.03937008,0.18897640
-2.30623148,0.03937008,0.18897640
-2.30543148,0.00000000,0.17322840
-2.30463148,0.00000000,0.18897640
-2.30383148,-0.03937008,0.18897640
-2.30303148,-0.07874016,0.18897640
-2.30223148,-0.03937008,0.18897640
-2.30143148,-0.03937008,0.17322840
-2.30063148,-0.03937008,0.18897640
-2.29983148,0.03937008,0.18897640
-2.29903148,0.03937008,0.18897640
-2.29823148,0.03937008,0.18897640
-2.29743148,0.03937008,0.20472440
-2.29663148,0.07874016,0.20472440
-2.29583148,0.11811020,0.20472440
-2.29503148,0.11811020,0.20472440
-2.29423148,0.11811020,0.20472440
-2.29343148,0.11811020,0.20472440
-2.29263148,0.07874016,0.22047240
-2.29183148,0.11811020,0.20472440
-2.29103148,0.07874016,0.22047240
-2.29023148,0.03937008,0.22047240
-2.28943148,0.03937008,0.22047240
-2.28863148,0.07874016,0.20472440
-2.28783148,0.03937008,0.20472440
-2.28703148,0.00000000,0.18897640
-2.28623148,0.03937008,0.20472440
-2.28543148,0.00000000,0.20472440
-2.28463148,0.03937008,0.20472440
-2.28383148,0.00000000,0.20472440
-2.28303148,0.03937008,0.20472440
-2.28223148,0.03937008,0.18897640
-2.28143148,0.03937008,0.18897640
-2.28063148,0.03937008,0.18897640
-2.27983148,0.03937008,0.18897640
-2.27903148,0.03937008,0.18897640
-2.27823148,0.03937008,0.18897640
-2.27743148,0.00000000,0.18897640
-2.27663148,-0.03937008,0.18897640
-2.27583148,0.00000000,0.18897640
-2.27503148,0.00000000,0.20472440
-2.27423148,0.03937008,0.18897640
-2.27343148,0.03937008,0.18897640
-2.27263148,0.03937008,0.20472440
-2.27183148,0.03937008,0.20472440
-2.27103148,0.07874016,0.20472440
-2.27023148,0.11811020,0.20472440
-2.26943148,0.15748030,0.20472440
