Time,Channel A,Channel B
(us),(V),(V)

-2.50104344,0.00000000,0.18897640
-2.50024344,0.03937008,0.17322840
-2.49944344,0.03937008,0.18897640
-2.49864344,0.03937008,0.18897640
-2.49784344,0.07874016,0.18897640
-2.49704344,0.07874016,0.18897640
-2.49624344,0.11811020,0.20472440
-2.49544344,0.11811020,0.18897640
-2.49464344,0.07874016,0.18897640
-2.49384344,0.11811020,0.18897640
-2.49304344,0.11811020,0.18897640
-2.49224344,0.11811020,0.20472440
-2.49144344,0.11811020,0.20472440
-2.49064344,0.07874016,0.18897640
-2.48984344,0.07874016,0.18897640
-2.48904344,0.03937008,0.18897640
-2.48824344,0.03937008,0.18897640
-2.48744344,0.03937008,0.18897640
-2.48664344,0.03937008,0.18897640
-2.48584344,0.03937008,0.18897640
-2.48504344,0.00000000,0.18897640
-2.48424344,0.03937008,0.18897640
-2.48344344,0.03937008,0.17322840
-2.48264344,0.03937008,0.18897640
-2.48184344,0.03937008,0.18897640
-2.48104344,0.00000000,0.17322840
-2.48024344,0.07874016,0.18897640
-2.47944344,0.03937008,0.18897640
-2.47864344,0.03937008,0.18897640
-2.47784344,0.03937008,0.17322840
-2.47704344,0.00000000,0.18897640
-2.47624344,0.03937008,0.17322840
-2.47544344,0.00000000,0.18897640
-2.47464344,0.03937008,0.18897640
-2.47384344,0.03937008,0.18897640
-2.47304344,0.03937008,0.20472440
-2.47224344,0.07874016,0.18897640
-2.47144344,0.07874016,0.18897640
-2.47064344,0.11811020,0.18897640
-2.46984344,0.15748030,0.18897640
-2.46904344,0.11811020,0.18897640
-2.46824344,0.11811020,0.18897640
-2.46744344,0.11811020,0.18897640
-2.46664344,0.07874016,0.18897640
-2.46584344,0.07874016,0.18897640
-2.46504344,0.03937008,0.18897640
-2.46424344,0.00000000,0.17322840
-2.46344344,0.00000000,0.17322840
-2.46264344,0.00000000,0.17322840
-2.46184344,0.00000000,0.17322840
-2.46104344,0.03937008,0.17322840
-2.46024344,-0.03937008,0.17322840
-2.45944344,0.00000000,0.18897640
-2.45864344,0.00000000,0.17322840
-2.45784344,0.03937008,0.17322840
-2.45704344,0.03937008,0.18897640
-2.45624344,0.03937008,0.18897640
-2.45544344,0.03937008,0.17322840
-2.45464344,0.07874016,0.18897640
-2.45384344,0.03937008,0.17322840
-2.45304344,0.07874016,0.18897640
-2.45224344,0.07874016,0.18897640
-2.45144344,0.07874016,0.18897640
-2.45064344,0.07874016,0.18897640
-2.44984344,0.07874016,0.18897640
-2.44904344,0.11811020,0.18897640
-2.44824344,0.11811020,0.18897640
-2.44744344,0.11811020,0.18897640
-2.44664344,0.07874016,0.20472440
-2.44584344,0.03937008,0.18897640
-2.44504344,0.07874016,0.18897640
-2.44424344,0.07874016,0.20472440
-2.44344344,0.07874016,0.18897640
-2.44264344,0.03937008,0.18897640
-2.44184344,0.07874016,0.18897640
-2.44104344,0.03937008,0.18897640
-2.44024344,0.07874016,0.17322840
-2.43944344,0.07874016,0.17322840
-2.43864344,0.03937008,0.17322840
-2.43784344,0.03937008,0.17322840
-2.43704344,-0.03937008,0.17322840
-2.43624344,-0.07874016,0.17322840
-2.43544344,-0.03937008,0.17322840
-2.43464344,0.00000000,0.18897640
-2.43384344,0.00000000,0.18897640
-2.43304344,0.00000000,0.17322840
-2.43224344,0.03937008,0.18897640
-2.43144344,0.07874016,0.18897640
-2.43064344,0.07874016,0.18897640
-2.42984344,0.11811020,0.18897640
-2.42904344,0.15748030,0.18897640
-2.42824344,0.11811020,0.20472440
-2.42744344,0.11811020,0.20472440
-2.42664344,0.07874016,0.20472440
-2.42584344,0.11811020,0.18897640
-2.42504344,0.07874016,0.18897640
-2.42424344,0.07874016,0.18897640
-2.42344344,0.07874016,0.20472440
-2.42264344,0.03937008,0.20472440
-2.42184344,0.07874016,0.18897640
-2.42104344,0.07874016,0.18897640
-2.42024344,0.07874016,0.17322840
-2.41944344,0.03937008,0.18897640
-2.41864344,0.03937008,0.17322840
-2.41784344,0.00000000,0.17322840
-2.41704344,0.03937008,0.17322840
-2.41624344,0.03937008,0.17322840
-2.41544344,0.00000000,0.17322840
-2.41464344,0.00000000,0.17322840
-2.41384344,0.00000000,0.17322840
-2.41304344,0.03937008,0.17322840
-2.41224344,0.03937008,0.17322840
-2.41144344,0.03937008,0.18897640
-2.41064344,0.03937008,0.18897640
-2.40984344,0.03937008,0.17322840
-2.40904344,0.03937008,0.18897640
-2.40824344,0.03937008,0.18897640
-2.40744344,0.03937008,0.18897640
-2.40664344,0.03937008,0.18897640
-2.40584344,0.03937008,0.18897640
-2.40504344,0.03937008,0.18897640
-2.40424344,0.11811020,0.18897640
-2.40344344,0.11811020,0.20472440
-2.40264344,0.15748030,0.18897640
-2.40184344,0.11811020,0.18897640
-2.40104344,0.11811020,0.18897640
-2.40024344,0.11811020,0.17322840
-2.39944344,0.11811020,0.18897640
-2.39864344,0.03937008,0.18897640
-2.39784344,0.03937008,0.17322840
-2.39704344,0.00000000,0.18897640
-2.39624344,0.00000000,0.17322840
-2.39544344,0.00000000,0.17322840
-2.39464344,0.00000000,0.17322840
-2.39384344,0.00000000,0.18897640
-2.39304344,0.00000000,0.17322840
-2.39224344,0.00000000,0.17322840
-2.39144344,0.03937008,0.17322840
-2.39064344,0.03937008,0.18897640
-2.38984344,0.07874016,0.17322840
-2.38904344,0.07874016,0.17322840
-2.38824344,0.07874016,0.18897640
-2.38744344,0.07874016,0.17322840
-2.38664344,0.11811020,0.18897640
-2.38584344,0.07874016,0.18897640
-2.38504344,0.07874016,0.18897640
-2.38424344,0.07874016,0.20472440
-2.38344344,0.03937008,0.18897640
-2.38264344,0.07874016,0.18897640
-2.38184344,0.07874016,0.20472440
-2.38104344,0.07874016,0.18897640
-2.38024344,0.07874016,0.18897640
-2.37944344,0.07874016,0.18897640
-2.37864344,0.07874016,0.18897640
-2.37784344,0.07874016,0.18897640
-2.37704344,0.11811020,0.18897640
-2.37624344,0.07874016,0.18897640
-2.37544344,0.03937008,0.18897640
-2.37464344,0.03937008,0.17322840
-2.37384344,0.03937008,0.18897640
-2.37304344,0.03937008,0.18897640
-2.37224344,0.03937008,0.17322840
-2.37144344,0.00000000,0.17322840
-2.37064344,0.00000000,0.17322840
-2.36984344,-0.07874016,0.17322840
-2.36904344,-0.03937008,0.17322840
-2.36824344,0.03937008,0.18897640
-2.36744344,0.00000000,0.17322840
-2.36664344,0.00000000,0.18897640
-2.36584344,0.03937008,0.18897640
-2.36504344,0.07874016,0.18897640
-2.36424344,0.07874016,0.18897640
-2.36344344,0.07874016,0.18897640
-2.36264344,0.11811020,0.18897640
-2.36184344,0.11811020,0.18897640
-2.36104344,0.07874016,0.18897640
-2.36024344,0.11811020,0.18897640
-2.35944344,0.11811020,0.20472440
-2.35864344,0.11811020,0.18897640
-2.35784344,0.11811020,0.18897640
-2.35704344,0.11811020,0.18897640
-2.35624344,0.07874016,0.18897640
-2.35544344,0.07874016,0.18897640
-2.35464344,0.03937008,0.18897640
-2.35384344,0.03937008,0.18897640
-2.35304344,0.03937008,0.18897640
-2.35224344,0.00000000,0.18897640
-2.35144344,0.03937008,0.18897640
-2.35064344,0.00000000,0.18897640
-2.34984344,0.00000000,0.17322840
-2.34904344,0.03937008,0.17322840
-2.34824344,0.03937008,0.17322840
-2.34744344,0.03937008,0.17322840
-2.34664344,0.07874016,0.17322840
-2.34584344,0.03937008,0.17322840
-2.34504344,0.07874016,0.18897640
-2.34424344,0.03937008,0.18897640
-2.34344344,0.03937008,0.18897640
-2.34264344,0.00000000,0.18897640
-2.34184344,0.03937008,0.18897640
-2.34104344,0.03937008,0.18897640
-2.34024344,0.03937008,0.18897640
-2.33944344,0.03937008,0.18897640
-2.33864344,0.07874016,0.18897640
-2.33784344,0.11811020,0.18897640
-2.33704344,0.15748030,0.18897640
-2.33624344,0.15748030,0.18897640
-2.33544344,0.11811020,0.18897640
-2.33464344,0.11811020,0.18897640
-2.33384344,0.11811020,0.18897640
-2.33304344,0.03937008,0.18897640
-2.33224344,0.03937008,0.18897640
-2.33144344,0.00000000,0.18897640
-2.33064344,0.00000000,0.17322840
-2.32984344,0.00000000,0.17322840
-2.32904344,0.00000000,0.17322840
-2.32824344,0.00000000,0.17322840
-2.32744344,0.00000000,0.17322840
-2.32664344,0.03937008,0.18897640
-2.32584344,0.03937008,0.18897640
-2.32504344,0.00000000,0.17322840
-2.32424344,0.03937008,0.17322840
-2.32344344,0.00000000,0.17322840
-2.32264344,0.00000000,0.18897640
-2.32184344,0.00000000,0.17322840
-2.32104344,0.03937008,0.18897640
-2.32024344,0.03937008,0.18897640
-2.31944344,0.07874016,0.18897640
-2.31864344,0.07874016,0.18897640
-2.31784344,0.11811020,0.18897640
-2.31704344,0.07874016,0.18897640
-2.31624344,0.07874016,0.18897640
-2.31544344,0.07874016,0.18897640
-2.31464344,0.07874016,0.18897640
-2.31384344,0.07874016,0.18897640
-2.31304344,0.07874016,0.20472440
-2.31224344,0.03937008,0.18897640
-2.31144344,0.00000000,0.18897640
-2.31064344,0.07874016,0.18897640
-2.30984344,0.07874016,0.18897640
-2.30904344,0.03937008,0.18897640
-2.30824344,0.07874016,0.18897640
-2.30744344,0.07874016,0.17322840
-2.30664344,0.07874016,0.18897640
-2.30584344,0.07874016,0.17322840
-2.30504344,0.03937008,0.17322840
-2.30424344,0.00000000,0.17322840
-2.30344344,-0.07874016,0.17322840
-2.30264344,-0.07874016,0.17322840
-2.30184344,-0.03937008,0.17322840
-2.30104344,-0.03937008,0.17322840
-2.30024344,0.00000000,0.18897640
-2.29944344,0.00000000,0.17322840
-2.29864344,0.07874016,0.18897640
-2.29784344,0.07874016,0.17322840
-2.29704344,0.15748030,0.18897640
-2.29624344,0.11811020,0.18897640
-2.29544344,0.15748030,0.18897640
-2.29464344,0.11811020,0.18897640
-2.29384344,0.11811020,0.20472440
-2.29304344,0.11811020,0.20472440
-2.29224344,0.07874016,0.18897640
-2.29144344,0.07874016,0.18897640
-2.29064344,0.03937008,0.18897640
-2.28984344,0.03937008,0.17322840
-2.28904344,0.07874016,0.18897640
-2.28824344,0.07874016,0.18897640
-2.28744344,0.07874016,0.18897640
-2.28664344,0.07874016,0.18897640
-2.28584344,0.07874016,0.18897640
-2.28504344,0.07874016,0.17322840
-2.28424344,0.03937008,0.17322840
-2.28344344,0.03937008,0.17322840
-2.28264344,0.00000000,0.18897640
-2.28184344,0.00000000,0.18897640
-2.28104344,0.00000000,0.17322840
-2.28024344,0.00000000,0.17322840
-2.27944344,0.03937008,0.17322840
-2.27864344,0.03937008,0.18897640
-2.27784344,0.03937008,0.18897640
-2.27704344,0.03937008,0.18897640
-2.27624344,0.03937008,0.18897640
-2.27544344,0.07874016,0.18897640
-2.27464344,0.07874016,0.18897640
-2.27384344,0.07874016,0.18897640
-2.27304344,0.00000000,0.18897640
-2.27224344,0.03937008,0.18897640
-2.27144344,0.07874016,0.20472440
-2.27064344,0.11811020,0.20472440
-2.26984344,0.15748030,0.18897640
-2.26904344,0.15748030,0.18897640
-2.26824344,0.11811020,0.18897640
