Time,Channel A,Channel B
(us),(V),(V)

-2.45114295,0.03937008,0.17322840
-2.45034295,0.00000000,0.17322840
-2.44954295,0.03937008,0.17322840
-2.44874295,0.03937008,0.17322840
-2.44794295,0.03937008,0.17322840
-2.44714295,0.03937008,0.18897640
-2.44634295,0.03937008,0.18897640
-2.44554295,0.07874016,0.17322840
-2.44474295,0.07874016,0.17322840
-2.44394295,0.07874016,0.17322840
-2.44314295,0.07874016,0.17322840
-2.44234295,0.11811020,0.17322840
-2.44154295,0.11811020,0.17322840
-2.44074295,0.11811020,0.17322840
-2.43994295,0.11811020,0.17322840
-2.43914295,0.15748030,0.18897640
-2.43834295,0.15748030,0.17322840
-2.43754295,0.11811020,0.17322840
-2.43674295,0.19685040,0.17322840
-2.43594295,0.15748030,0.17322840
-2.43514295,0.11811020,0.17322840
-2.43434295,0.15748030,0.18897640
-2.43354295,0.07874016,0.17322840
-2.43274295,0.11811020,0.17322840
-2.43194295,0.07874016,0.17322840
-2.43114295,0.07874016,0.17322840
-2.43034295,0.07874016,0.17322840
-2.42954295,0.07874016,0.17322840
-2.42874295,0.07874016,0.17322840
-2.42794295,0.11811020,0.15748030
-2.42714295,0.11811020,0.15748030
-2.42634295,0.11811020,0.17322840
-2.42554295,0.07874016,0.17322840
-2.42474295,0.03937008,0.17322840
-2.42394295,0.07874016,0.18897640
-2.42314295,0.03937008,0.18897640
-2.42234295,0.03937008,0.18897640
-2.42154295,0.00000000,0.18897640
-2.42074295,0.03937008,0.17322840
-2.41994295,0.03937008,0.17322840
-2.41914295,0.03937008,0.17322840
-2.41834295,0.00000000,0.17322840
-2.41754295,-0.03937008,0.17322840
-2.41674295,-0.03937008,0.17322840
-2.41594295,0.00000000,0.18897640
-2.41514295,-0.03937008,0.17322840
-2.41434295,0.00000000,0.17322840
-2.41354295,0.00000000,0.17322840
-2.41274295,0.00000000,0.17322840
-2.41194295,0.03937008,0.17322840
-2.41114295,0.03937008,0.17322840
-2.41034295,0.00000000,0.15748030
-2.40954295,0.03937008,0.17322840
-2.40874295,0.03937008,0.17322840
-2.40794295,0.03937008,0.17322840
-2.40714295,0.03937008,0.17322840
-2.40634295,0.03937008,0.17322840
-2.40554295,0.03937008,0.18897640
-2.40474295,0.07874016,0.17322840
-2.40394295,0.07874016,0.17322840
-2.40314295,0.07874016,0.17322840
-2.40234295,0.07874016,0.17322840
-2.40154295,0.11811020,0.18897640
-2.40074295,0.11811020,0.17322840
-2.39994295,0.11811020,0.17322840
-2.39914295,0.11811020,0.17322840
-2.39834295,0.15748030,0.17322840
-2.39754295,0.15748030,0.17322840
-2.39674295,0.15748030,0.17322840
-2.39594295,0.15748030,0.17322840
-2.39514295,0.15748030,0.17322840
-2.39434295,0.11811020,0.17322840
-2.39354295,0.11811020,0.17322840
-2.39274295,0.11811020,0.17322840
-2.39194295,0.07874016,0.17322840
-2.39114295,0.07874016,0.17322840
-2.39034295,0.07874016,0.17322840
-2.38954295,0.11811020,0.17322840
-2.38874295,0.11811020,0.17322840
-2.38794295,0.11811020,0.17322840
-2.38714295,0.07874016,0.17322840
-2.38634295,0.07874016,0.15748030
-2.38554295,0.03937008,0.17322840
-2.38474295,0.07874016,0.17322840
-2.38394295,0.03937008,0.17322840
-2.38314295,0.03937008,0.18897640
-2.38234295,0.07874016,0.18897640
-2.38154295,0.03937008,0.17322840
-2.38074295,0.03937008,0.17322840
-2.37994295,0.03937008,0.17322840
-2.37914295,0.00000000,0.17322840
-2.37834295,-0.03937008,0.17322840
-2.37754295,0.00000000,0.17322840
-2.37674295,-0.03937008,0.17322840
-2.37594295,-0.03937008,0.17322840
-2.37514295,0.00000000,0.18897640
-2.37434295,0.00000000,0.17322840
-2.37354295,0.03937008,0.17322840
-2.37274295,0.03937008,0.17322840
-2.37194295,0.03937008,0.17322840
-2.37114295,0.03937008,0.17322840
-2.37034295,0.03937008,0.17322840
-2.36954295,0.03937008,0.17322840
-2.36874295,0.03937008,0.17322840
-2.36794295,0.03937008,0.17322840
-2.36714295,0.03937008,0.17322840
-2.36634295,0.03937008,0.17322840
-2.36554295,0.07874016,0.17322840
-2.36474295,0.07874016,0.15748030
-2.36394295,0.07874016,0.17322840
-2.36314295,0.07874016,0.17322840
-2.36234295,0.11811020,0.17322840
-2.36154295,0.11811020,0.17322840
-2.36074295,0.11811020,0.17322840
-2.35994295,0.11811020,0.17322840
-2.35914295,0.11811020,0.17322840
-2.35834295,0.15748030,0.17322840
-2.35754295,0.15748030,0.17322840
-2.35674295,0.15748030,0.17322840
-2.35594295,0.15748030,0.17322840
-2.35514295,0.15748030,0.17322840
-2.35434295,0.11811020,0.17322840
-2.35354295,0.11811020,0.17322840
-2.35274295,0.07874016,0.17322840
-2.35194295,0.07874016,0.18897640
-2.35114295,0.07874016,0.17322840
-2.35034295,0.07874016,0.17322840
-2.34954295,0.11811020,0.17322840
-2.34874295,0.07874016,0.17322840
-2.34794295,0.11811020,0.17322840
-2.34714295,0.07874016,0.17322840
-2.34634295,0.11811020,0.17322840
-2.34554295,0.07874016,0.17322840
-2.34474295,0.07874016,0.17322840
-2.34394295,0.07874016,0.18897640
-2.34314295,0.07874016,0.18897640
-2.34234295,0.03937008,0.18897640
-2.34154295,0.03937008,0.18897640
-2.34074295,0.03937008,0.17322840
-2.33994295,0.03937008,0.15748030
-2.33914295,0.03937008,0.17322840
-2.33834295,0.00000000,0.17322840
-2.33754295,-0.03937008,0.17322840
-2.33674295,-0.03937008,0.17322840
-2.33594295,-0.03937008,0.17322840
-2.33514295,-0.03937008,0.18897640
-2.33434295,0.03937008,0.18897640
-2.33354295,0.00000000,0.17322840
-2.33274295,0.03937008,0.17322840
-2.33194295,0.03937008,0.17322840
-2.33114295,0.07874016,0.17322840
-2.33034295,0.03937008,0.17322840
-2.32954295,0.03937008,0.17322840
-2.32874295,0.03937008,0.17322840
-2.32794295,0.03937008,0.17322840
-2.32714295,0.03937008,0.17322840
-2.32634295,0.03937008,0.17322840
-2.32554295,0.03937008,0.17322840
-2.32474295,0.07874016,0.17322840
-2.32394295,0.07874016,0.17322840
-2.32314295,0.07874016,0.15748030
-2.32234295,0.11811020,0.17322840
-2.32154295,0.07874016,0.15748030
-2.32074295,0.11811020,0.15748030
-2.31994295,0.11811020,0.17322840
-2.31914295,0.11811020,0.17322840
-2.31834295,0.15748030,0.17322840
-2.31754295,0.15748030,0.17322840
-2.31674295,0.15748030,0.17322840
-2.31594295,0.15748030,0.17322840
-2.31514295,0.15748030,0.17322840
-2.31434295,0.11811020,0.17322840
-2.31354295,0.07874016,0.17322840
-2.31274295,0.11811020,0.17322840
-2.31194295,0.07874016,0.18897640
-2.31114295,0.11811020,0.18897640
-2.31034295,0.07874016,0.17322840
-2.30954295,0.07874016,0.18897640
-2.30874295,0.07874016,0.17322840
-2.30794295,0.07874016,0.17322840
-2.30714295,0.07874016,0.17322840
-2.30634295,0.11811020,0.17322840
-2.30554295,0.07874016,0.17322840
-2.30474295,0.07874016,0.17322840
-2.30394295,0.07874016,0.18897640
-2.30314295,0.03937008,0.18897640
-2.30234295,0.03937008,0.18897640
-2.30154295,0.03937008,0.18897640
-2.30074295,0.03937008,0.17322840
-2.29994295,0.00000000,0.17322840
-2.29914295,0.03937008,0.17322840
-2.29834295,-0.03937008,0.17322840
-2.29754295,0.00000000,0.17322840
-2.29674295,-0.03937008,0.17322840
-2.29594295,-0.03937008,0.18897640
-2.29514295,-0.03937008,0.17322840
-2.29434295,0.00000000,0.17322840
-2.29354295,0.00000000,0.17322840
-2.29274295,0.03937008,0.18897640
-2.29194295,0.03937008,0.18897640
-2.29114294,0.07874016,0.17322840
-2.29034294,0.03937008,0.17322840
-2.28954294,0.00000000,0.17322840
-2.28874294,0.03937008,0.17322840
-2.28794294,0.03937008,0.17322840
-2.28714294,0.03937008,0.17322840
-2.28634294,0.03937008,0.17322840
-2.28554294,0.07874016,0.17322840
-2.28474294,0.07874016,0.17322840
-2.28394294,0.07874016,0.15748030
-2.28314294,0.07874016,0.17322840
-2.28234294,0.07874016,0.17322840
-2.28154294,0.11811020,0.17322840
-2.28074294,0.11811020,0.17322840
-2.27994294,0.15748030,0.17322840
-2.27914294,0.15748030,0.17322840
-2.27834294,0.15748030,0.17322840
-2.27754294,0.15748030,0.17322840
-2.27674294,0.11811020,0.17322840
-2.27594294,0.15748030,0.17322840
-2.27514294,0.15748030,0.17322840
-2.27434294,0.15748030,0.17322840
-2.27354294,0.11811020,0.17322840
-2.27274294,0.07874016,0.17322840
-2.27194294,0.07874016,0.18897640
-2.27114294,0.03937008,0.17322840
-2.27034294,0.07874016,0.17322840
-2.26954294,0.07874016,0.17322840
-2.26874294,0.11811020,0.17322840
-2.26794294,0.11811020,0.17322840
-2.26714294,0.07874016,0.17322840
-2.26634294,0.07874016,0.17322840
-2.26554294,0.07874016,0.17322840
-2.26474294,0.03937008,0.17322840
-2.26394294,0.07874016,0.18897640
-2.26314294,0.03937008,0.18897640
-2.26234294,0.03937008,0.18897640
-2.26154294,0.03937008,0.17322840
-2.26074294,0.03937008,0.17322840
-2.25994294,0.03937008,0.17322840
-2.25914294,-0.03937008,0.15748030
-2.25834294,0.00000000,0.17322840
-2.25754294,-0.03937008,0.17322840
-2.25674294,-0.03937008,0.17322840
-2.25594294,-0.03937008,0.18897640
-2.25514294,0.00000000,0.17322840
-2.25434294,0.00000000,0.18897640
-2.25354294,0.03937008,0.17322840
-2.25274294,0.03937008,0.17322840
-2.25194294,0.03937008,0.17322840
-2.25114294,0.03937008,0.17322840
-2.25034294,0.03937008,0.15748030
-2.24954294,0.03937008,0.17322840
-2.24874294,0.03937008,0.17322840
-2.24794294,0.03937008,0.17322840
-2.24714294,0.03937008,0.18897640
-2.24634294,0.03937008,0.17322840
-2.24554294,0.03937008,0.17322840
-2.24474294,0.07874016,0.17322840
-2.24394294,0.07874016,0.17322840
-2.24314294,0.11811020,0.17322840
-2.24234294,0.07874016,0.17322840
-2.24154294,0.07874016,0.17322840
-2.24074294,0.11811020,0.17322840
-2.23994294,0.11811020,0.17322840
-2.23914294,0.15748030,0.17322840
-2.23834294,0.15748030,0.18897640
-2.23754294,0.15748030,0.17322840
-2.23674294,0.15748030,0.17322840
-2.23594294,0.15748030,0.17322840
-2.23514294,0.11811020,0.17322840
-2.23434294,0.11811020,0.17322840
-2.23354294,0.11811020,0.17322840
-2.23274294,0.11811020,0.17322840
-2.23194294,0.11811020,0.17322840
-2.23114294,0.07874016,0.17322840
-2.23034294,0.07874016,0.17322840
-2.22954294,0.07874016,0.17322840
-2.22874294,0.11811020,0.18897640
-2.22794294,0.07874016,0.18897640
-2.22714294,0.11811020,0.17322840
-2.22634294,0.07874016,0.17322840
-2.22554294,0.07874016,0.17322840
-2.22474294,0.03937008,0.17322840
-2.22394294,0.03937008,0.17322840
-2.22314294,0.03937008,0.17322840
-2.22234294,0.07874016,0.18897640
-2.22154294,0.03937008,0.17322840
-2.22074294,0.03937008,0.17322840
-2.21994294,0.00000000,0.17322840
-2.21914294,0.00000000,0.15748030
