Time,Channel A,Channel B
(us),(V),(V)

-2.45071438,0.07874016,0.12598430
-2.44991438,0.11811020,0.12598430
-2.44911438,0.11811020,0.12598430
-2.44831438,0.11811020,0.12598430
-2.44751438,0.11811020,0.12598430
-2.44671438,0.07874016,0.12598430
-2.44591438,0.03937008,0.11023620
-2.44511438,0.00000000,0.11023620
-2.44431438,-0.03937008,0.09448819
-2.44351438,-0.03937008,0.11023620
-2.44271438,-0.03937008,0.09448819
-2.44191438,-0.03937008,0.11023620
-2.44111437,-0.03937008,0.09448819
-2.44031437,0.00000000,0.09448819
-2.43951437,0.00000000,0.09448819
-2.43871437,0.03937008,0.09448819
-2.43791437,0.00000000,0.09448819
-2.43711437,0.03937008,0.09448819
-2.43631437,0.07874016,0.09448819
-2.43551437,0.07874016,0.09448819
-2.43471437,0.07874016,0.07874016
-2.43391437,0.11811020,0.09448819
-2.43311437,0.07874016,0.11023620
-2.43231437,0.07874016,0.09448819
-2.43151437,0.03937008,0.09448819
-2.43071437,0.03937008,0.11023620
-2.42991437,-0.03937008,0.11023620
-2.42911437,-0.03937008,0.11023620
-2.42831437,-0.07874016,0.11023620
-2.42751437,-0.07874016,0.11023620
-2.42671437,-0.03937008,0.11023620
-2.42591437,0.00000000,0.11023620
-2.42511437,0.03937008,0.12598430
-2.42431437,0.07874016,0.12598430
-2.42351437,0.11811020,0.12598430
-2.42271437,0.11811020,0.12598430
-2.42191437,0.11811020,0.12598430
-2.42111437,0.07874016,0.12598430
-2.42031437,0.11811020,0.12598430
-2.41951437,0.07874016,0.11023620
-2.41871437,0.03937008,0.11023620
-2.41791437,0.07874016,0.12598430
-2.41711437,0.03937008,0.12598430
-2.41631437,0.00000000,0.12598430
-2.41551437,-0.03937008,0.12598430
-2.41471437,-0.03937008,0.11023620
-2.41391437,-0.03937008,0.09448819
-2.41311437,-0.03937008,0.11023620
-2.41231437,-0.03937008,0.11023620
-2.41151437,0.00000000,0.11023620
-2.41071437,0.03937008,0.11023620
-2.40991437,0.07874016,0.11023620
-2.40911437,0.11811020,0.12598430
-2.40831437,0.15748030,0.09448819
-2.40751437,0.11811020,0.11023620
-2.40671437,0.07874016,0.11023620
-2.40591437,0.03937008,0.09448819
-2.40511437,0.00000000,0.09448819
-2.40431437,-0.03937008,0.11023620
-2.40351437,-0.03937008,0.09448819
-2.40271437,-0.07874016,0.09448819
-2.40191437,-0.07874016,0.11023620
-2.40111437,-0.03937008,0.11023620
-2.40031437,0.00000000,0.11023620
-2.39951437,0.00000000,0.11023620
-2.39871437,0.03937008,0.11023620
-2.39791437,0.03937008,0.11023620
-2.39711437,0.07874016,0.11023620
-2.39631437,0.07874016,0.11023620
-2.39551437,0.07874016,0.11023620
-2.39471437,0.07874016,0.09448819
-2.39391437,0.07874016,0.11023620
-2.39311437,0.07874016,0.11023620
-2.39231437,0.07874016,0.11023620
-2.39151437,0.07874016,0.11023620
-2.39071437,0.03937008,0.11023620
-2.38991437,0.00000000,0.11023620
-2.38911437,-0.07874016,0.11023620
-2.38831437,-0.11811020,0.11023620
-2.38751437,-0.07874016,0.11023620
-2.38671437,-0.03937008,0.11023620
-2.38591437,0.00000000,0.11023620
-2.38511437,0.03937008,0.11023620
-2.38431437,0.07874016,0.11023620
-2.38351437,0.15748030,0.12598430
-2.38271437,0.11811020,0.11023620
-2.38191437,0.11811020,0.12598430
-2.38111437,0.11811020,0.11023620
-2.38031437,0.07874016,0.11023620
-2.37951437,0.03937008,0.11023620
-2.37871437,0.07874016,0.11023620
-2.37791437,0.03937008,0.12598430
-2.37711437,0.00000000,0.11023620
-2.37631437,-0.03937008,0.11023620
-2.37551437,-0.03937008,0.12598430
-2.37471437,0.00000000,0.11023620
-2.37391437,-0.03937008,0.11023620
-2.37311437,0.00000000,0.11023620
-2.37231437,0.00000000,0.12598430
-2.37151437,0.00000000,0.12598430
-2.37071437,0.07874016,0.12598430
-2.36991437,0.11811020,0.11023620
-2.36911437,0.11811020,0.11023620
-2.36831437,0.15748030,0.11023620
-2.36751437,0.11811020,0.11023620
-2.36671437,0.07874016,0.12598430
-2.36591437,0.03937008,0.11023620
-2.36511437,0.00000000,0.11023620
-2.36431437,-0.03937008,0.11023620
-2.36351437,-0.03937008,0.11023620
-2.36271437,-0.03937008,0.11023620
-2.36191437,-0.03937008,0.11023620
-2.36111437,-0.03937008,0.11023620
-2.36031437,0.00000000,0.11023620
-2.35951437,0.03937008,0.11023620
-2.35871437,0.00000000,0.11023620
-2.35791437,0.03937008,0.12598430
-2.35711437,0.03937008,0.12598430
-2.35631437,0.03937008,0.11023620
-2.35551437,0.07874016,0.11023620
-2.35471437,0.07874016,0.12598430
-2.35391437,0.07874016,0.14173230
-2.35311437,0.07874016,0.14173230
-2.35231437,0.07874016,0.12598430
-2.35151437,0.03937008,0.12598430
-2.35071437,0.03937008,0.12598430
-2.34991437,-0.03937008,0.12598430
-2.34911437,-0.03937008,0.12598430
-2.34831437,-0.07874016,0.12598430
-2.34751437,-0.07874016,0.12598430
-2.34671437,-0.07874016,0.12598430
-2.34591437,0.00000000,0.14173230
-2.34511437,0.03937008,0.14173230
-2.34431437,0.11811020,0.12598430
-2.34351437,0.11811020,0.12598430
-2.34271437,0.11811020,0.14173230
-2.34191437,0.11811020,0.12598430
-2.34111437,0.07874016,0.14173230
-2.34031437,0.11811020,0.12598430
-2.33951437,0.07874016,0.12598430
-2.33871437,0.07874016,0.12598430
-2.33791437,0.03937008,0.12598430
-2.33711437,0.00000000,0.12598430
-2.33631437,0.00000000,0.14173230
-2.33551437,-0.03937008,0.14173230
-2.33471437,-0.03937008,0.12598430
-2.33391437,-0.03937008,0.12598430
-2.33311437,0.00000000,0.12598430
-2.33231437,-0.03937008,0.12598430
-2.33151437,0.03937008,0.12598430
-2.33071437,0.03937008,0.12598430
-2.32991437,0.07874016,0.12598430
-2.32911437,0.11811020,0.12598430
-2.32831437,0.07874016,0.12598430
-2.32751437,0.11811020,0.14173230
-2.32671437,0.07874016,0.12598430
-2.32591437,0.00000000,0.12598430
-2.32511437,0.00000000,0.12598430
-2.32431437,0.00000000,0.12598430
-2.32351437,-0.03937008,0.12598430
-2.32271437,-0.07874016,0.12598430
-2.32191437,-0.03937008,0.12598430
-2.32111437,-0.03937008,0.12598430
-2.32031437,-0.03937008,0.12598430
-2.31951437,0.00000000,0.12598430
-2.31871437,0.03937008,0.12598430
-2.31791437,0.00000000,0.14173230
-2.31711437,0.07874016,0.12598430
-2.31631437,0.07874016,0.12598430
-2.31551437,0.11811020,0.12598430
-2.31471437,0.11811020,0.14173230
-2.31391437,0.11811020,0.14173230
-2.31311437,0.07874016,0.14173230
-2.31231437,0.07874016,0.12598430
-2.31151437,0.03937008,0.14173230
-2.31071437,0.03937008,0.14173230
-2.30991437,-0.03937008,0.12598430
-2.30911437,-0.07874016,0.12598430
-2.30831437,-0.07874016,0.14173230
-2.30751437,-0.07874016,0.12598430
-2.30671437,-0.03937008,0.14173230
-2.30591437,0.00000000,0.15748030
-2.30511437,0.07874016,0.14173230
-2.30431437,0.07874016,0.15748030
-2.30351437,0.07874016,0.15748030
-2.30271437,0.11811020,0.14173230
-2.30191437,0.11811020,0.15748030
-2.30111437,0.11811020,0.14173230
-2.30031437,0.11811020,0.14173230
-2.29951437,0.07874016,0.14173230
-2.29871437,0.07874016,0.14173230
-2.29791437,0.00000000,0.14173230
-2.29711437,0.00000000,0.14173230
-2.29631437,0.00000000,0.14173230
-2.29551437,-0.03937008,0.14173230
-2.29471437,-0.03937008,0.12598430
-2.29391437,-0.03937008,0.14173230
-2.29311437,0.00000000,0.14173230
-2.29231437,0.00000000,0.14173230
-2.29151437,0.03937008,0.14173230
-2.29071437,0.03937008,0.14173230
-2.28991437,0.07874016,0.14173230
-2.28911437,0.11811020,0.14173230
-2.28831437,0.15748030,0.14173230
-2.28751437,0.11811020,0.12598430
-2.28671437,0.07874016,0.12598430
-2.28591437,0.03937008,0.12598430
-2.28511437,0.00000000,0.12598430
-2.28431437,-0.03937008,0.12598430
-2.28351437,-0.03937008,0.11023620
-2.28271437,-0.03937008,0.11023620
-2.28191437,-0.03937008,0.11023620
-2.28111437,-0.03937008,0.11023620
-2.28031437,0.00000000,0.11023620
-2.27951437,0.00000000,0.11023620
-2.27871437,0.03937008,0.11023620
-2.27791437,0.03937008,0.11023620
-2.27711437,0.03937008,0.11023620
-2.27631437,0.07874016,0.11023620
-2.27551437,0.07874016,0.11023620
-2.27471437,0.07874016,0.11023620
-2.27391437,0.07874016,0.11023620
-2.27311437,0.07874016,0.11023620
-2.27231437,0.07874016,0.12598430
-2.27151437,0.03937008,0.12598430
-2.27071437,0.03937008,0.12598430
-2.26991437,-0.03937008,0.12598430
-2.26911437,-0.07874016,0.12598430
-2.26831437,-0.11811020,0.14173230
-2.26751437,-0.11811020,0.14173230
-2.26671437,-0.07874016,0.14173230
-2.26591437,-0.03937008,0.14173230
-2.26511437,0.03937008,0.14173230
-2.26431437,0.07874016,0.12598430
-2.26351437,0.07874016,0.14173230
-2.26271437,0.11811020,0.14173230
-2.26191437,0.15748030,0.14173230
-2.26111437,0.11811020,0.14173230
-2.26031437,0.07874016,0.14173230
-2.25951437,0.07874016,0.12598430
-2.25871437,0.03937008,0.12598430
-2.25791437,0.03937008,0.12598430
-2.25711437,0.00000000,0.12598430
-2.25631437,0.00000000,0.14173230
-2.25551437,0.00000000,0.12598430
-2.25471437,0.00000000,0.11023620
-2.25391437,0.00000000,0.11023620
-2.25311437,0.00000000,0.11023620
-2.25231437,0.00000000,0.12598430
-2.25151437,0.00000000,0.11023620
-2.25071437,0.07874016,0.12598430
-2.24991437,0.07874016,0.12598430
-2.24911437,0.11811020,0.12598430
-2.24831437,0.11811020,0.12598430
-2.24751437,0.11811020,0.12598430
-2.24671437,0.07874016,0.11023620
-2.24591437,0.03937008,0.11023620
-2.24511437,0.03937008,0.11023620
-2.24431437,-0.03937008,0.11023620
-2.24351437,-0.03937008,0.11023620
-2.24271437,-0.03937008,0.09448819
-2.24191437,-0.03937008,0.09448819
-2.24111437,-0.03937008,0.09448819
-2.24031437,0.00000000,0.09448819
-2.23951437,0.00000000,0.09448819
-2.23871437,0.00000000,0.09448819
-2.23791437,0.03937008,0.09448819
-2.23711437,0.03937008,0.09448819
-2.23631437,0.07874016,0.09448819
-2.23551437,0.07874016,0.09448819
-2.23471437,0.07874016,0.09448819
-2.23391437,0.07874016,0.09448819
-2.23311437,0.07874016,0.11023620
-2.23231437,0.03937008,0.11023620
-2.23151437,0.03937008,0.11023620
-2.23071437,0.07874016,0.09448819
-2.22991437,-0.03937008,0.11023620
-2.22911437,-0.07874016,0.11023620
-2.22831437,-0.07874016,0.09448819
-2.22751437,-0.07874016,0.11023620
-2.22671437,-0.03937008,0.11023620
-2.22591437,0.00000000,0.12598430
-2.22511437,0.03937008,0.12598430
-2.22431437,0.07874016,0.12598430
-2.22351437,0.11811020,0.12598430
-2.22271437,0.15748030,0.12598430
-2.22191437,0.11811020,0.12598430
-2.22111437,0.11811020,0.12598430
