Time,Channel A,Channel B
(us),(V),(V)

-2.45052809,0.03937008,0.12598430
-2.44972809,0.11811020,0.14173230
-2.44892809,0.15748030,0.14173230
-2.44812809,0.15748030,0.14173230
-2.44732809,0.11811020,0.12598430
-2.44652809,0.07874016,0.12598430
-2.44572809,0.07874016,0.14173230
-2.44492809,0.03937008,0.11023620
-2.44412809,0.00000000,0.11023620
-2.44332809,0.00000000,0.12598430
-2.44252809,-0.03937008,0.11023620
-2.44172809,0.00000000,0.11023620
-2.44092809,0.00000000,0.12598430
-2.44012809,0.00000000,0.11023620
-2.43932809,0.00000000,0.11023620
-2.43852809,0.03937008,0.11023620
-2.43772809,0.03937008,0.11023620
-2.43692809,0.03937008,0.11023620
-2.43612809,0.07874016,0.09448819
-2.43532809,0.07874016,0.12598430
-2.43452809,0.11811020,0.11023620
-2.43372809,0.11811020,0.12598430
-2.43292809,0.07874016,0.11023620
-2.43212809,0.03937008,0.11023620
-2.43132809,0.03937008,0.11023620
-2.43052809,0.00000000,0.12598430
-2.42972809,0.00000000,0.12598430
-2.42892809,-0.03937008,0.11023620
-2.42812809,-0.07874016,0.11023620
-2.42732809,-0.07874016,0.12598430
-2.42652809,0.00000000,0.12598430
-2.42572809,0.03937008,0.12598430
-2.42492809,0.03937008,0.12598430
-2.42412809,0.03937008,0.12598430
-2.42332809,0.11811020,0.12598430
-2.42252809,0.11811020,0.12598430
-2.42172809,0.15748030,0.12598430
-2.42092809,0.07874016,0.12598430
-2.42012809,0.11811020,0.11023620
-2.41932809,0.07874016,0.12598430
-2.41852809,0.07874016,0.12598430
-2.41772809,0.03937008,0.11023620
-2.41692809,0.03937008,0.12598430
-2.41612809,0.03937008,0.11023620
-2.41532809,0.03937008,0.12598430
-2.41452809,0.00000000,0.11023620
-2.41372809,0.00000000,0.12598430
-2.41292809,-0.03937008,0.12598430
-2.41212809,0.00000000,0.12598430
-2.41132809,0.00000000,0.11023620
-2.41052809,0.07874016,0.11023620
-2.40972809,0.11811020,0.12598430
-2.40892809,0.11811020,0.12598430
-2.40812809,0.11811020,0.12598430
-2.40732809,0.11811020,0.11023620
-2.40652809,0.07874016,0.11023620
-2.40572809,0.03937008,0.11023620
-2.40492809,0.03937008,0.12598430
-2.40412809,0.00000000,0.11023620
-2.40332809,0.00000000,0.11023620
-2.40252809,-0.03937008,0.11023620
-2.40172809,-0.03937008,0.12598430
-2.40092809,0.00000000,0.11023620
-2.40012809,0.00000000,0.12598430
-2.39932809,0.03937008,0.11023620
-2.39852809,0.03937008,0.12598430
-2.39772809,0.03937008,0.12598430
-2.39692809,0.03937008,0.12598430
-2.39612809,0.07874016,0.12598430
-2.39532809,0.07874016,0.11023620
-2.39452809,0.11811020,0.12598430
-2.39372809,0.07874016,0.12598430
-2.39292809,0.07874016,0.11023620
-2.39212809,0.07874016,0.12598430
-2.39132809,0.03937008,0.12598430
-2.39052809,0.03937008,0.12598430
-2.38972809,0.00000000,0.12598430
-2.38892809,-0.03937008,0.12598430
-2.38812809,-0.03937008,0.12598430
-2.38732809,-0.07874016,0.12598430
-2.38652809,0.00000000,0.12598430
-2.38572809,0.00000000,0.12598430
-2.38492809,0.03937008,0.12598430
-2.38412809,0.07874016,0.12598430
-2.38332809,0.07874016,0.12598430
-2.38252809,0.11811020,0.12598430
-2.38172809,0.11811020,0.14173230
-2.38092809,0.11811020,0.12598430
-2.38012809,0.11811020,0.12598430
-2.37932809,0.07874016,0.12598430
-2.37852809,0.07874016,0.12598430
-2.37772809,0.07874016,0.12598430
-2.37692809,0.03937008,0.12598430
-2.37612809,0.00000000,0.12598430
-2.37532809,0.00000000,0.12598430
-2.37452809,0.00000000,0.12598430
-2.37372809,0.00000000,0.12598430
-2.37292809,0.00000000,0.12598430
-2.37212809,0.00000000,0.14173230
-2.37132809,0.03937008,0.12598430
-2.37052809,0.03937008,0.12598430
-2.36972809,0.11811020,0.12598430
-2.36892809,0.11811020,0.12598430
-2.36812809,0.11811020,0.11023620
-2.36732809,0.07874016,0.12598430
-2.36652809,0.07874016,0.12598430
-2.36572809,0.07874016,0.12598430
-2.36492809,0.03937008,0.12598430
-2.36412809,0.00000000,0.11023620
-2.36332809,-0.03937008,0.11023620
-2.36252809,0.00000000,0.12598430
-2.36172809,-0.03937008,0.12598430
-2.36092809,0.00000000,0.12598430
-2.36012809,0.00000000,0.12598430
-2.35932809,0.00000000,0.12598430
-2.35852809,0.03937008,0.14173230
-2.35772809,0.03937008,0.12598430
-2.35692809,0.03937008,0.12598430
-2.35612809,0.07874016,0.12598430
-2.35532809,0.11811020,0.14173230
-2.35452809,0.11811020,0.14173230
-2.35372809,0.11811020,0.14173230
-2.35292809,0.07874016,0.14173230
-2.35212809,0.07874016,0.12598430
-2.35132809,0.07874016,0.12598430
-2.35052809,0.03937008,0.14173230
-2.34972809,0.00000000,0.14173230
-2.34892809,-0.07874016,0.14173230
-2.34812809,-0.03937008,0.12598430
-2.34732809,-0.03937008,0.14173230
-2.34652809,-0.03937008,0.14173230
-2.34572809,0.00000000,0.14173230
-2.34492809,0.03937008,0.12598430
-2.34412809,0.11811020,0.14173230
-2.34332809,0.11811020,0.14173230
-2.34252809,0.15748030,0.14173230
-2.34172809,0.11811020,0.12598430
-2.34092809,0.15748030,0.12598430
-2.34012809,0.11811020,0.14173230
-2.33932809,0.07874016,0.14173230
-2.33852809,0.07874016,0.14173230
-2.33772809,0.07874016,0.14173230
-2.33692809,0.03937008,0.14173230
-2.33612809,0.00000000,0.14173230
-2.33532809,0.00000000,0.14173230
-2.33452809,-0.03937008,0.14173230
-2.33372809,0.00000000,0.14173230
-2.33292809,0.00000000,0.14173230
-2.33212809,0.03937008,0.15748030
-2.33132809,0.03937008,0.14173230
-2.33052809,0.07874016,0.14173230
-2.32972809,0.11811020,0.15748030
-2.32892809,0.11811020,0.14173230
-2.32812809,0.15748030,0.14173230
-2.32732809,0.07874016,0.15748030
-2.32652809,0.07874016,0.14173230
-2.32572809,0.03937008,0.14173230
-2.32492809,0.03937008,0.14173230
-2.32412809,0.00000000,0.12598430
-2.32332809,-0.03937008,0.12598430
-2.32252809,0.00000000,0.14173230
-2.32172809,0.00000000,0.14173230
-2.32092809,0.00000000,0.14173230
-2.32012809,0.03937008,0.14173230
-2.31932809,0.03937008,0.14173230
-2.31852809,0.03937008,0.14173230
-2.31772809,0.03937008,0.14173230
-2.31692809,0.07874016,0.12598430
-2.31612809,0.11811020,0.14173230
-2.31532809,0.11811020,0.15748030
-2.31452809,0.07874016,0.14173230
-2.31372809,0.07874016,0.14173230
-2.31292809,0.07874016,0.14173230
-2.31212809,0.07874016,0.14173230
-2.31132809,0.07874016,0.14173230
-2.31052809,0.03937008,0.14173230
-2.30972809,0.00000000,0.14173230
-2.30892809,-0.03937008,0.14173230
-2.30812809,-0.07874016,0.14173230
-2.30732809,-0.03937008,0.15748030
-2.30652809,0.00000000,0.15748030
-2.30572809,0.03937008,0.15748030
-2.30492809,0.07874016,0.15748030
-2.30412809,0.07874016,0.14173230
-2.30332809,0.11811020,0.14173230
-2.30252809,0.11811020,0.14173230
-2.30172809,0.11811020,0.14173230
-2.30092809,0.11811020,0.14173230
-2.30012809,0.11811020,0.14173230
-2.29932809,0.07874016,0.15748030
-2.29852809,0.07874016,0.15748030
-2.29772809,0.07874016,0.14173230
-2.29692809,0.00000000,0.14173230
-2.29612809,0.00000000,0.14173230
-2.29532809,0.00000000,0.14173230
-2.29452809,-0.03937008,0.14173230
-2.29372809,0.00000000,0.15748030
-2.29292809,0.00000000,0.14173230
-2.29212809,0.03937008,0.14173230
-2.29132809,0.03937008,0.15748030
-2.29052809,0.07874016,0.14173230
-2.28972809,0.11811020,0.14173230
-2.28892809,0.11811020,0.15748030
-2.28812809,0.11811020,0.15748030
-2.28732809,0.11811020,0.14173230
-2.28652809,0.07874016,0.14173230
-2.28572809,0.07874016,0.15748030
-2.28492809,0.03937008,0.14173230
-2.28412809,0.00000000,0.14173230
-2.28332809,0.00000000,0.12598430
-2.28252809,-0.03937008,0.12598430
-2.28172809,0.00000000,0.12598430
-2.28092809,0.00000000,0.12598430
-2.28012809,0.00000000,0.14173230
-2.27932809,0.00000000,0.12598430
-2.27852809,0.03937008,0.12598430
-2.27772809,0.03937008,0.12598430
-2.27692809,0.07874016,0.12598430
-2.27612809,0.07874016,0.12598430
-2.27532809,0.07874016,0.12598430
-2.27452809,0.11811020,0.12598430
-2.27372809,0.11811020,0.14173230
-2.27292809,0.07874016,0.14173230
-2.27212809,0.07874016,0.12598430
-2.27132809,0.03937008,0.12598430
-2.27052809,0.03937008,0.14173230
-2.26972809,0.00000000,0.14173230
-2.26892809,-0.03937008,0.14173230
-2.26812809,-0.07874016,0.14173230
-2.26732809,-0.03937008,0.12598430
-2.26652809,0.00000000,0.14173230
-2.26572809,0.00000000,0.14173230
-2.26492809,0.03937008,0.14173230
-2.26412809,0.07874016,0.14173230
-2.26332809,0.07874016,0.14173230
-2.26252809,0.15748030,0.14173230
-2.26172809,0.11811020,0.14173230
-2.26092809,0.11811020,0.12598430
-2.26012809,0.11811020,0.12598430
-2.25932809,0.07874016,0.14173230
-2.25852809,0.07874016,0.12598430
-2.25772809,0.07874016,0.12598430
-2.25692809,0.03937008,0.14173230
-2.25612809,0.00000000,0.12598430
-2.25532809,0.00000000,0.12598430
-2.25452809,0.00000000,0.12598430
-2.25372809,0.00000000,0.12598430
-2.25292809,0.00000000,0.12598430
-2.25212809,0.03937008,0.12598430
-2.25132809,0.03937008,0.12598430
-2.25052809,0.03937008,0.12598430
-2.24972809,0.11811020,0.12598430
-2.24892809,0.11811020,0.14173230
-2.24812809,0.11811020,0.12598430
-2.24732809,0.11811020,0.12598430
-2.24652809,0.07874016,0.12598430
-2.24572809,0.07874016,0.14173230
-2.24492809,0.00000000,0.12598430
-2.24412809,0.00000000,0.12598430
-2.24332809,0.00000000,0.11023620
-2.24252809,-0.03937008,0.12598430
-2.24172809,-0.03937008,0.12598430
-2.24092809,0.00000000,0.12598430
-2.24012809,0.00000000,0.11023620
-2.23932809,0.00000000,0.12598430
-2.23852809,0.03937008,0.12598430
-2.23772809,0.03937008,0.11023620
-2.23692809,0.07874016,0.11023620
-2.23612809,0.07874016,0.11023620
-2.23532809,0.11811020,0.11023620
-2.23452809,0.11811020,0.12598430
-2.23372809,0.07874016,0.12598430
-2.23292809,0.07874016,0.11023620
-2.23212809,0.07874016,0.11023620
-2.23132809,0.07874016,0.12598430
-2.23052809,0.00000000,0.12598430
-2.22972809,-0.03937008,0.12598430
-2.22892809,-0.03937008,0.11023620
-2.22812809,-0.07874016,0.12598430
-2.22732809,-0.03937008,0.12598430
-2.22652809,0.00000000,0.12598430
-2.22572809,0.00000000,0.12598430
-2.22492809,0.03937008,0.12598430
-2.22412809,0.07874016,0.12598430
-2.22332809,0.11811020,0.12598430
-2.22252809,0.15748030,0.12598430
-2.22172809,0.11811020,0.12598430
-2.22092809,0.11811020,0.12598430
-2.22012809,0.07874016,0.11023620
-2.21932809,0.07874016,0.12598430
