Time,Channel A,Channel B
(us),(V),(V)

-2.45104624,0.07874016,0.14173230
-2.45024624,0.07874016,0.14173230
-2.44944624,0.15748030,0.14173230
-2.44864624,0.19685040,0.14173230
-2.44784624,0.15748030,0.12598430
-2.44704624,0.11811020,0.12598430
-2.44624624,0.07874016,0.12598430
-2.44544624,0.07874016,0.12598430
-2.44464624,0.00000000,0.12598430
-2.44384624,0.03937008,0.12598430
-2.44304624,0.00000000,0.12598430
-2.44224624,-0.03937008,0.12598430
-2.44144624,0.00000000,0.11023620
-2.44064624,0.03937008,0.11023620
-2.43984624,0.07874016,0.11023620
-2.43904624,0.03937008,0.11023620
-2.43824624,0.03937008,0.11023620
-2.43744624,0.07874016,0.11023620
-2.43664624,0.11811020,0.11023620
-2.43584624,0.11811020,0.11023620
-2.43504624,0.11811020,0.11023620
-2.43424624,0.15748030,0.12598430
-2.43344624,0.11811020,0.11023620
-2.43264624,0.11811020,0.11023620
-2.43184624,0.11811020,0.11023620
-2.43104624,0.07874016,0.12598430
-2.43024624,0.03937008,0.11023620
-2.42944624,0.00000000,0.11023620
-2.42864624,-0.03937008,0.11023620
-2.42784624,-0.03937008,0.11023620
-2.42704624,0.00000000,0.11023620
-2.42624624,0.03937008,0.12598430
-2.42544624,0.03937008,0.12598430
-2.42464624,0.07874016,0.12598430
-2.42384624,0.15748030,0.12598430
-2.42304624,0.15748030,0.14173230
-2.42224624,0.15748030,0.14173230
-2.42144624,0.15748030,0.12598430
-2.42064624,0.15748030,0.11023620
-2.41984624,0.11811020,0.11023620
-2.41904624,0.07874016,0.11023620
-2.41824624,0.07874016,0.11023620
-2.41744624,0.07874016,0.12598430
-2.41664624,0.03937008,0.12598430
-2.41584624,0.03937008,0.12598430
-2.41504624,0.00000000,0.11023620
-2.41424624,0.00000000,0.11023620
-2.41344624,0.00000000,0.11023620
-2.41264624,0.03937008,0.11023620
-2.41184624,0.03937008,0.11023620
-2.41104624,0.07874016,0.11023620
-2.41024624,0.07874016,0.11023620
-2.40944624,0.15748030,0.12598430
-2.40864624,0.15748030,0.11023620
-2.40784624,0.15748030,0.11023620
-2.40704624,0.11811020,0.11023620
-2.40624624,0.07874016,0.11023620
-2.40544624,0.07874016,0.11023620
-2.40464624,0.03937008,0.12598430
-2.40384624,0.03937008,0.11023620
-2.40304624,0.00000000,0.11023620
-2.40224624,0.00000000,0.11023620
-2.40144624,0.00000000,0.12598430
-2.40064624,0.00000000,0.11023620
-2.39984624,0.03937008,0.12598430
-2.39904624,0.03937008,0.12598430
-2.39824624,0.07874016,0.12598430
-2.39744624,0.07874016,0.12598430
-2.39664624,0.11811020,0.11023620
-2.39584624,0.11811020,0.12598430
-2.39504624,0.11811020,0.11023620
-2.39424624,0.11811020,0.12598430
-2.39344624,0.11811020,0.12598430
-2.39264624,0.11811020,0.12598430
-2.39184624,0.11811020,0.12598430
-2.39104624,0.07874016,0.12598430
-2.39024624,0.03937008,0.11023620
-2.38944624,0.00000000,0.11023620
-2.38864624,0.00000000,0.11023620
-2.38784624,-0.03937008,0.12598430
-2.38704624,0.00000000,0.12598430
-2.38624624,0.00000000,0.12598430
-2.38544624,0.07874016,0.12598430
-2.38464624,0.07874016,0.12598430
-2.38384624,0.11811020,0.12598430
-2.38304624,0.15748030,0.12598430
-2.38224624,0.15748030,0.12598430
-2.38144624,0.15748030,0.12598430
-2.38064624,0.11811020,0.12598430
-2.37984624,0.11811020,0.12598430
-2.37904624,0.11811020,0.12598430
-2.37824624,0.07874016,0.12598430
-2.37744624,0.07874016,0.12598430
-2.37664624,0.07874016,0.14173230
-2.37584624,0.00000000,0.12598430
-2.37504624,0.00000000,0.12598430
-2.37424624,0.00000000,0.11023620
-2.37344624,0.03937008,0.12598430
-2.37264624,0.03937008,0.14173230
-2.37184624,0.03937008,0.12598430
-2.37104624,0.07874016,0.12598430
-2.37024624,0.07874016,0.11023620
-2.36944624,0.15748030,0.12598430
-2.36864624,0.15748030,0.12598430
-2.36784624,0.15748030,0.12598430
-2.36704624,0.11811020,0.12598430
-2.36624624,0.11811020,0.12598430
-2.36544624,0.07874016,0.12598430
-2.36464624,0.03937008,0.12598430
-2.36384624,0.00000000,0.11023620
-2.36304624,0.00000000,0.11023620
-2.36224624,0.00000000,0.11023620
-2.36144624,0.00000000,0.12598430
-2.36064624,0.03937008,0.12598430
-2.35984624,0.03937008,0.12598430
-2.35904624,0.03937008,0.12598430
-2.35824624,0.03937008,0.12598430
-2.35744624,0.07874016,0.12598430
-2.35664624,0.07874016,0.12598430
-2.35584624,0.11811020,0.12598430
-2.35504624,0.11811020,0.12598430
-2.35424624,0.11811020,0.14173230
-2.35344624,0.11811020,0.12598430
-2.35264624,0.07874016,0.14173230
-2.35184624,0.11811020,0.14173230
-2.35104624,0.07874016,0.12598430
-2.35024624,0.07874016,0.14173230
-2.34944624,0.00000000,0.14173230
-2.34864624,-0.03937008,0.12598430
-2.34784624,-0.03937008,0.14173230
-2.34704624,-0.03937008,0.14173230
-2.34624624,0.03937008,0.14173230
-2.34544624,0.03937008,0.14173230
-2.34464624,0.07874016,0.14173230
-2.34384624,0.11811020,0.14173230
-2.34304624,0.15748030,0.14173230
-2.34224624,0.15748030,0.14173230
-2.34144624,0.11811020,0.14173230
-2.34064624,0.15748030,0.14173230
-2.33984624,0.11811020,0.14173230
-2.33904624,0.11811020,0.14173230
-2.33824624,0.07874016,0.14173230
-2.33744624,0.07874016,0.14173230
-2.33664624,0.03937008,0.14173230
-2.33584624,0.00000000,0.14173230
-2.33504624,0.00000000,0.14173230
-2.33424624,0.00000000,0.14173230
-2.33344624,0.03937008,0.14173230
-2.33264624,0.03937008,0.14173230
-2.33184624,0.07874016,0.14173230
-2.33104624,0.07874016,0.14173230
-2.33024624,0.11811020,0.15748030
-2.32944624,0.15748030,0.14173230
-2.32864624,0.15748030,0.15748030
-2.32784624,0.19685040,0.14173230
-2.32704624,0.11811020,0.15748030
-2.32624624,0.11811020,0.14173230
-2.32544624,0.07874016,0.14173230
-2.32464624,0.00000000,0.14173230
-2.32384624,0.00000000,0.14173230
-2.32304624,0.00000000,0.12598430
-2.32224624,0.00000000,0.14173230
-2.32144624,0.00000000,0.14173230
-2.32064624,0.03937008,0.12598430
-2.31984624,0.03937008,0.14173230
-2.31904624,0.07874016,0.14173230
-2.31824624,0.03937008,0.14173230
-2.31744624,0.07874016,0.14173230
-2.31664624,0.07874016,0.12598430
-2.31584624,0.11811020,0.12598430
-2.31504624,0.15748030,0.14173230
-2.31424624,0.11811020,0.14173230
-2.31344624,0.11811020,0.14173230
-2.31264624,0.07874016,0.12598430
-2.31184624,0.11811020,0.14173230
-2.31104624,0.07874016,0.14173230
-2.31024624,0.03937008,0.14173230
-2.30944624,0.00000000,0.14173230
-2.30864624,-0.03937008,0.14173230
-2.30784624,0.00000000,0.14173230
-2.30704624,0.00000000,0.14173230
-2.30624624,0.03937008,0.14173230
-2.30544624,0.03937008,0.14173230
-2.30464624,0.07874016,0.15748030
-2.30384624,0.11811020,0.15748030
-2.30304624,0.15748030,0.14173230
-2.30224624,0.15748030,0.15748030
-2.30144624,0.15748030,0.15748030
-2.30064624,0.15748030,0.14173230
-2.29984624,0.11811020,0.14173230
-2.29904624,0.07874016,0.14173230
-2.29824624,0.11811020,0.14173230
-2.29744624,0.07874016,0.14173230
-2.29664624,0.03937008,0.14173230
-2.29584624,0.00000000,0.15748030
-2.29504624,0.00000000,0.15748030
-2.29424624,0.00000000,0.14173230
-2.29344624,0.00000000,0.14173230
-2.29264624,0.03937008,0.14173230
-2.29184624,0.03937008,0.14173230
-2.29104624,0.03937008,0.15748030
-2.29024624,0.11811020,0.14173230
-2.28944624,0.15748030,0.14173230
-2.28864624,0.15748030,0.15748030
-2.28784624,0.15748030,0.15748030
-2.28704624,0.11811020,0.14173230
-2.28624624,0.07874016,0.14173230
-2.28544624,0.07874016,0.14173230
-2.28464624,0.03937008,0.14173230
-2.28384624,0.00000000,0.14173230
-2.28304624,0.00000000,0.14173230
-2.28224624,0.00000000,0.14173230
-2.28144624,0.00000000,0.12598430
-2.28064624,0.00000000,0.12598430
-2.27984624,0.03937008,0.12598430
-2.27904624,0.07874016,0.12598430
-2.27824624,0.07874016,0.12598430
-2.27744624,0.03937008,0.12598430
-2.27664624,0.07874016,0.12598430
-2.27584624,0.11811020,0.12598430
-2.27504624,0.11811020,0.12598430
-2.27424624,0.11811020,0.12598430
-2.27344624,0.11811020,0.14173230
-2.27264624,0.11811020,0.12598430
-2.27184624,0.11811020,0.12598430
-2.27104624,0.07874016,0.14173230
-2.27024624,0.03937008,0.12598430
-2.26944624,0.00000000,0.14173230
-2.26864624,-0.03937008,0.12598430
-2.26784624,-0.03937008,0.14173230
-2.26704624,0.00000000,0.14173230
-2.26624624,0.00000000,0.14173230
-2.26544624,0.03937008,0.14173230
-2.26464624,0.07874016,0.14173230
-2.26384624,0.11811020,0.14173230
-2.26304624,0.15748030,0.14173230
-2.26224624,0.15748030,0.12598430
-2.26144624,0.15748030,0.14173230
-2.26064624,0.11811020,0.14173230
-2.25984624,0.11811020,0.12598430
-2.25904624,0.11811020,0.12598430
-2.25824624,0.11811020,0.12598430
-2.25744624,0.07874016,0.12598430
-2.25664624,0.07874016,0.12598430
-2.25584624,0.03937008,0.12598430
-2.25504624,0.00000000,0.12598430
-2.25424624,0.00000000,0.12598430
-2.25344624,0.00000000,0.12598430
-2.25264624,0.00000000,0.12598430
-2.25184624,0.07874016,0.12598430
-2.25104624,0.07874016,0.12598430
-2.25024624,0.11811020,0.12598430
-2.24944624,0.15748030,0.14173230
-2.24864624,0.15748030,0.12598430
-2.24784624,0.15748030,0.12598430
-2.24704624,0.11811020,0.12598430
-2.24624624,0.07874016,0.12598430
-2.24544624,0.07874016,0.12598430
-2.24464624,0.03937008,0.12598430
-2.24384624,0.00000000,0.11023620
-2.24304624,0.00000000,0.11023620
-2.24224624,0.03937008,0.11023620
-2.24144624,0.00000000,0.12598430
-2.24064624,0.00000000,0.11023620
-2.23984624,0.03937008,0.11023620
-2.23904624,0.03937008,0.12598430
-2.23824624,0.07874016,0.12598430
-2.23744624,0.07874016,0.11023620
-2.23664624,0.11811020,0.11023620
-2.23584624,0.11811020,0.09448819
-2.23504624,0.11811020,0.11023620
-2.23424624,0.15748030,0.11023620
-2.23344624,0.11811020,0.11023620
-2.23264624,0.11811020,0.12598430
-2.23184624,0.07874016,0.11023620
-2.23104624,0.07874016,0.12598430
-2.23024624,0.07874016,0.12598430
-2.22944624,0.00000000,0.12598430
-2.22864624,-0.03937008,0.11023620
-2.22784624,-0.03937008,0.11023620
-2.22704624,0.00000000,0.12598430
-2.22624624,0.00000000,0.12598430
-2.22544624,0.03937008,0.14173230
-2.22464624,0.11811020,0.14173230
-2.22384624,0.11811020,0.12598430
-2.22304624,0.15748030,0.12598430
-2.22224624,0.15748030,0.12598430
-2.22144624,0.15748030,0.12598430
-2.22064624,0.11811020,0.12598430
-2.21984624,0.11811020,0.12598430
-2.21904624,0.11811020,0.12598430
