Time,Channel A,Channel B
(us),(V),(V)

-2.45077152,0.07874016,0.12598430
-2.44997152,0.07874016,0.12598430
-2.44917152,0.11811020,0.14173230
-2.44837152,0.11811020,0.12598430
-2.44757152,0.11811020,0.12598430
-2.44677152,0.07874016,0.12598430
-2.44597152,0.07874016,0.12598430
-2.44517152,0.00000000,0.12598430
-2.44437152,0.00000000,0.12598430
-2.44357152,-0.03937008,0.12598430
-2.44277152,-0.03937008,0.11023620
-2.44197152,-0.03937008,0.12598430
-2.44117152,-0.03937008,0.11023620
-2.44037152,0.00000000,0.11023620
-2.43957152,0.03937008,0.11023620
-2.43877152,0.03937008,0.11023620
-2.43797152,0.03937008,0.11023620
-2.43717152,0.03937008,0.11023620
-2.43637152,0.07874016,0.09448819
-2.43557152,0.11811020,0.11023620
-2.43477152,0.11811020,0.11023620
-2.43397152,0.07874016,0.12598430
-2.43317152,0.11811020,0.11023620
-2.43237152,0.07874016,0.11023620
-2.43157152,0.03937008,0.12598430
-2.43077152,0.03937008,0.11023620
-2.42997152,0.00000000,0.11023620
-2.42917152,-0.03937008,0.11023620
-2.42837152,-0.07874016,0.11023620
-2.42757152,-0.07874016,0.11023620
-2.42677152,-0.03937008,0.12598430
-2.42597152,0.00000000,0.12598430
-2.42517152,0.03937008,0.12598430
-2.42437152,0.07874016,0.12598430
-2.42357152,0.11811020,0.12598430
-2.42277152,0.11811020,0.12598430
-2.42197152,0.11811020,0.12598430
-2.42117152,0.11811020,0.12598430
-2.42037152,0.11811020,0.12598430
-2.41957152,0.07874016,0.11023620
-2.41877152,0.07874016,0.11023620
-2.41797152,0.03937008,0.12598430
-2.41717152,0.03937008,0.11023620
-2.41637152,0.00000000,0.12598430
-2.41557152,0.00000000,0.11023620
-2.41477152,0.00000000,0.11023620
-2.41397152,-0.03937008,0.11023620
-2.41317152,0.00000000,0.11023620
-2.41237152,0.00000000,0.11023620
-2.41157152,0.03937008,0.11023620
-2.41077152,0.03937008,0.11023620
-2.40997152,0.07874016,0.12598430
-2.40917152,0.11811020,0.12598430
-2.40837152,0.11811020,0.11023620
-2.40757152,0.11811020,0.11023620
-2.40677152,0.11811020,0.11023620
-2.40597152,0.03937008,0.11023620
-2.40517152,0.03937008,0.11023620
-2.40437152,0.00000000,0.11023620
-2.40357152,0.00000000,0.11023620
-2.40277152,0.00000000,0.11023620
-2.40197152,-0.03937008,0.11023620
-2.40117152,-0.03937008,0.11023620
-2.40037152,0.00000000,0.11023620
-2.39957152,0.03937008,0.11023620
-2.39877152,0.03937008,0.11023620
-2.39797152,0.03937008,0.12598430
-2.39717152,0.03937008,0.11023620
-2.39637152,0.07874016,0.11023620
-2.39557152,0.11811020,0.11023620
-2.39477152,0.07874016,0.11023620
-2.39397152,0.07874016,0.12598430
-2.39317152,0.07874016,0.11023620
-2.39237152,0.07874016,0.12598430
-2.39157152,0.07874016,0.12598430
-2.39077152,0.03937008,0.12598430
-2.38997152,0.00000000,0.12598430
-2.38917152,-0.03937008,0.11023620
-2.38837152,-0.07874016,0.11023620
-2.38757152,-0.07874016,0.12598430
-2.38677152,-0.03937008,0.12598430
-2.38597152,0.00000000,0.11023620
-2.38517152,0.00000000,0.12598430
-2.38437152,0.07874016,0.12598430
-2.38357152,0.11811020,0.12598430
-2.38277152,0.11811020,0.12598430
-2.38197152,0.11811020,0.12598430
-2.38117152,0.11811020,0.11023620
-2.38037152,0.07874016,0.11023620
-2.37957152,0.07874016,0.11023620
-2.37877152,0.07874016,0.12598430
-2.37797152,0.07874016,0.12598430
-2.37717152,0.03937008,0.12598430
-2.37637152,0.03937008,0.12598430
-2.37557152,0.00000000,0.12598430
-2.37477152,-0.03937008,0.12598430
-2.37397152,0.00000000,0.12598430
-2.37317152,0.00000000,0.12598430
-2.37237152,0.03937008,0.12598430
-2.37157152,0.03937008,0.12598430
-2.37077152,0.03937008,0.12598430
-2.36997152,0.03937008,0.12598430
-2.36917152,0.11811020,0.12598430
-2.36837152,0.11811020,0.12598430
-2.36757152,0.11811020,0.11023620
-2.36677152,0.07874016,0.11023620
-2.36597152,0.07874016,0.11023620
-2.36517152,0.03937008,0.11023620
-2.36437152,0.00000000,0.11023620
-2.36357152,-0.03937008,0.11023620
-2.36277152,0.00000000,0.12598430
-2.36197152,-0.03937008,0.11023620
-2.36117152,-0.03937008,0.12598430
-2.36037152,0.03937008,0.12598430
-2.35957152,0.03937008,0.12598430
-2.35877152,0.03937008,0.12598430
-2.35797152,0.03937008,0.12598430
-2.35717152,0.07874016,0.12598430
-2.35637152,0.07874016,0.12598430
-2.35557152,0.07874016,0.11023620
-2.35477152,0.11811020,0.12598430
-2.35397152,0.11811020,0.14173230
-2.35317152,0.07874016,0.14173230
-2.35237152,0.07874016,0.12598430
-2.35157152,0.07874016,0.14173230
-2.35077152,0.07874016,0.14173230
-2.34997152,0.00000000,0.14173230
-2.34917152,-0.03937008,0.12598430
-2.34837152,-0.07874016,0.12598430
-2.34757152,-0.03937008,0.14173230
-2.34677152,-0.03937008,0.14173230
-2.34597152,0.00000000,0.14173230
-2.34517152,0.03937008,0.14173230
-2.34437152,0.03937008,0.14173230
-2.34357152,0.07874016,0.14173230
-2.34277152,0.07874016,0.12598430
-2.34197152,0.11811020,0.12598430
-2.34117152,0.11811020,0.14173230
-2.34037152,0.07874016,0.14173230
-2.33957152,0.07874016,0.14173230
-2.33877152,0.07874016,0.14173230
-2.33797152,0.03937008,0.14173230
-2.33717152,0.03937008,0.14173230
-2.33637152,0.00000000,0.14173230
-2.33557152,0.00000000,0.14173230
-2.33477152,-0.03937008,0.15748030
-2.33397152,0.00000000,0.14173230
-2.33317152,0.00000000,0.14173230
-2.33237152,0.00000000,0.14173230
-2.33157152,0.03937008,0.14173230
-2.33077152,0.03937008,0.14173230
-2.32997152,0.07874016,0.14173230
-2.32917152,0.11811020,0.14173230
-2.32837152,0.15748030,0.14173230
-2.32757152,0.11811020,0.14173230
-2.32677152,0.11811020,0.14173230
-2.32597152,0.03937008,0.12598430
-2.32517152,0.03937008,0.14173230
-2.32437152,0.00000000,0.12598430
-2.32357152,0.00000000,0.14173230
-2.32277152,-0.03937008,0.14173230
-2.32197152,-0.03937008,0.12598430
-2.32117152,0.00000000,0.14173230
-2.32037152,-0.03937008,0.14173230
-2.31957152,0.03937008,0.14173230
-2.31877152,0.03937008,0.14173230
-2.31797152,0.03937008,0.14173230
-2.31717152,0.03937008,0.14173230
-2.31637152,0.07874016,0.14173230
-2.31557152,0.07874016,0.14173230
-2.31477152,0.11811020,0.14173230
-2.31397152,0.07874016,0.14173230
-2.31317152,0.07874016,0.14173230
-2.31237152,0.07874016,0.14173230
-2.31157152,0.03937008,0.14173230
-2.31077152,0.03937008,0.14173230
-2.30997152,0.00000000,0.14173230
-2.30917152,-0.03937008,0.14173230
-2.30837152,-0.03937008,0.12598430
-2.30757152,-0.07874016,0.14173230
-2.30677152,-0.03937008,0.14173230
-2.30597152,0.00000000,0.14173230
-2.30517152,0.03937008,0.14173230
-2.30437152,0.07874016,0.14173230
-2.30357152,0.11811020,0.14173230
-2.30277152,0.11811020,0.14173230
-2.30197152,0.15748030,0.15748030
-2.30117152,0.11811020,0.14173230
-2.30037152,0.11811020,0.14173230
-2.29957152,0.07874016,0.14173230
-2.29877152,0.07874016,0.14173230
-2.29797152,0.07874016,0.14173230
-2.29717152,0.03937008,0.14173230
-2.29637152,0.00000000,0.15748030
-2.29557152,0.00000000,0.15748030
-2.29477152,0.00000000,0.14173230
-2.29397152,-0.03937008,0.15748030
-2.29317152,-0.03937008,0.14173230
-2.29237152,0.00000000,0.14173230
-2.29157152,0.00000000,0.14173230
-2.29077152,0.03937008,0.14173230
-2.28997152,0.07874016,0.15748030
-2.28917152,0.11811020,0.15748030
-2.28837152,0.11811020,0.14173230
-2.28757152,0.11811020,0.14173230
-2.28677152,0.07874016,0.12598430
-2.28597152,0.03937008,0.14173230
-2.28517152,0.00000000,0.14173230
-2.28437152,-0.03937008,0.12598430
-2.28357152,-0.03937008,0.12598430
-2.28277152,-0.07874016,0.12598430
-2.28197152,-0.03937008,0.12598430
-2.28117152,-0.03937008,0.12598430
-2.28037152,-0.03937008,0.12598430
-2.27957152,0.00000000,0.12598430
-2.27877152,0.03937008,0.11023620
-2.27797152,0.00000000,0.12598430
-2.27717152,0.03937008,0.14173230
-2.27637152,0.07874016,0.11023620
-2.27557152,0.11811020,0.12598430
-2.27477152,0.07874016,0.12598430
-2.27397152,0.11811020,0.12598430
-2.27317152,0.07874016,0.12598430
-2.27237152,0.07874016,0.12598430
-2.27157152,0.07874016,0.12598430
-2.27077152,0.03937008,0.12598430
-2.26997152,-0.03937008,0.14173230
-2.26917152,-0.03937008,0.12598430
-2.26837152,-0.03937008,0.14173230
-2.26757152,-0.07874016,0.14173230
-2.26677152,-0.03937008,0.14173230
-2.26597152,0.00000000,0.12598430
-2.26517152,0.03937008,0.12598430
-2.26437152,0.07874016,0.14173230
-2.26357152,0.07874016,0.12598430
-2.26277152,0.11811020,0.14173230
-2.26197152,0.11811020,0.12598430
-2.26117152,0.11811020,0.12598430
-2.26037152,0.11811020,0.12598430
-2.25957152,0.07874016,0.12598430
-2.25877152,0.07874016,0.12598430
-2.25797152,0.03937008,0.14173230
-2.25717152,0.03937008,0.12598430
-2.25637152,0.00000000,0.12598430
-2.25557152,-0.03937008,0.12598430
-2.25477152,-0.03937008,0.12598430
-2.25397152,-0.03937008,0.12598430
-2.25317152,0.00000000,0.11023620
-2.25237152,0.00000000,0.12598430
-2.25157152,0.03937008,0.11023620
-2.25077152,0.03937008,0.12598430
-2.24997152,0.07874016,0.14173230
-2.24917152,0.11811020,0.14173230
-2.24837152,0.11811020,0.12598430
-2.24757152,0.11811020,0.14173230
-2.24677152,0.07874016,0.12598430
-2.24597152,0.07874016,0.12598430
-2.24517152,0.03937008,0.12598430
-2.24437152,0.00000000,0.11023620
-2.24357152,0.00000000,0.12598430
-2.24277152,0.00000000,0.11023620
-2.24197152,-0.03937008,0.12598430
-2.24117152,-0.03937008,0.12598430
-2.24037152,0.00000000,0.11023620
-2.23957152,0.00000000,0.12598430
-2.23877152,0.03937008,0.11023620
-2.23797152,0.00000000,0.12598430
-2.23717152,0.03937008,0.11023620
-2.23637152,0.07874016,0.11023620
-2.23557152,0.11811020,0.11023620
-2.23477152,0.07874016,0.09448819
-2.23397152,0.11811020,0.11023620
-2.23317152,0.07874016,0.12598430
-2.23237152,0.07874016,0.11023620
-2.23157152,0.07874016,0.11023620
-2.23077152,0.03937008,0.11023620
-2.22997152,0.00000000,0.12598430
-2.22917152,-0.03937008,0.11023620
-2.22837152,-0.07874016,0.11023620
-2.22757152,-0.07874016,0.11023620
-2.22677152,-0.03937008,0.11023620
-2.22597152,0.00000000,0.12598430
-2.22517152,0.03937008,0.12598430
-2.22437152,0.07874016,0.12598430
-2.22357152,0.11811020,0.12598430
-2.22277152,0.11811020,0.12598430
-2.22197152,0.11811020,0.12598430
-2.22117152,0.11811020,0.12598430
-2.22037152,0.07874016,0.12598430
