Time,Channel A,Channel B
(us),(V),(V)

-2.45093342,0.03937008,0.12598430
-2.45013342,0.11811020,0.14173230
-2.44933342,0.11811020,0.14173230
-2.44853342,0.11811020,0.14173230
-2.44773342,0.11811020,0.14173230
-2.44693342,0.07874016,0.12598430
-2.44613342,0.07874016,0.12598430
-2.44533342,0.03937008,0.11023620
-2.44453342,0.00000000,0.11023620
-2.44373342,0.00000000,0.11023620
-2.44293342,-0.03937008,0.12598430
-2.44213342,0.00000000,0.11023620
-2.44133342,0.00000000,0.12598430
-2.44053342,0.00000000,0.11023620
-2.43973342,0.00000000,0.11023620
-2.43893342,0.03937008,0.11023620
-2.43813342,0.03937008,0.11023620
-2.43733342,0.03937008,0.11023620
-2.43653342,0.07874016,0.09448819
-2.43573342,0.07874016,0.11023620
-2.43493342,0.11811020,0.11023620
-2.43413342,0.07874016,0.11023620
-2.43333342,0.07874016,0.12598430
-2.43253342,0.03937008,0.11023620
-2.43173342,0.07874016,0.11023620
-2.43093342,0.07874016,0.12598430
-2.43013342,0.03937008,0.12598430
-2.42933342,-0.03937008,0.11023620
-2.42853342,-0.07874016,0.11023620
-2.42773342,-0.03937008,0.11023620
-2.42693342,-0.07874016,0.12598430
-2.42613342,0.00000000,0.12598430
-2.42533342,0.00000000,0.12598430
-2.42453342,0.07874016,0.12598430
-2.42373342,0.11811020,0.12598430
-2.42293342,0.15748030,0.12598430
-2.42213342,0.11811020,0.12598430
-2.42133342,0.11811020,0.11023620
-2.42053342,0.11811020,0.11023620
-2.41973342,0.07874016,0.12598430
-2.41893342,0.07874016,0.12598430
-2.41813342,0.07874016,0.11023620
-2.41733342,0.03937008,0.11023620
-2.41653342,0.03937008,0.12598430
-2.41573342,-0.03937008,0.12598430
-2.41493342,0.00000000,0.11023620
-2.41413342,-0.03937008,0.11023620
-2.41333342,0.00000000,0.11023620
-2.41253342,0.00000000,0.11023620
-2.41173342,0.03937008,0.11023620
-2.41093342,0.03937008,0.11023620
-2.41013342,0.11811020,0.11023620
-2.40933342,0.11811020,0.12598430
-2.40853342,0.11811020,0.11023620
-2.40773342,0.11811020,0.11023620
-2.40693342,0.11811020,0.11023620
-2.40613342,0.07874016,0.11023620
-2.40533342,0.03937008,0.11023620
-2.40453342,0.03937008,0.12598430
-2.40373342,0.00000000,0.11023620
-2.40293342,-0.03937008,0.11023620
-2.40213342,0.00000000,0.11023620
-2.40133342,0.00000000,0.11023620
-2.40053342,0.00000000,0.11023620
-2.39973342,0.03937008,0.11023620
-2.39893342,0.03937008,0.12598430
-2.39813342,0.03937008,0.11023620
-2.39733342,0.03937008,0.12598430
-2.39653342,0.07874016,0.12598430
-2.39573342,0.11811020,0.12598430
-2.39493342,0.07874016,0.11023620
-2.39413342,0.11811020,0.11023620
-2.39333342,0.11811020,0.11023620
-2.39253342,0.07874016,0.11023620
-2.39173342,0.07874016,0.12598430
-2.39093342,0.03937008,0.12598430
-2.39013342,0.03937008,0.11023620
-2.38933342,-0.03937008,0.11023620
-2.38853342,-0.03937008,0.12598430
-2.38773342,-0.07874016,0.12598430
-2.38693342,-0.03937008,0.11023620
-2.38613342,0.00000000,0.12598430
-2.38533342,0.00000000,0.12598430
-2.38453342,0.07874016,0.12598430
-2.38373342,0.11811020,0.12598430
-2.38293342,0.11811020,0.12598430
-2.38213342,0.11811020,0.12598430
-2.38133342,0.11811020,0.12598430
-2.38053342,0.11811020,0.12598430
-2.37973342,0.07874016,0.12598430
-2.37893342,0.07874016,0.12598430
-2.37813342,0.07874016,0.12598430
-2.37733342,0.03937008,0.12598430
-2.37653342,0.00000000,0.12598430
-2.37573342,0.00000000,0.12598430
-2.37493342,0.00000000,0.11023620
-2.37413342,0.00000000,0.12598430
-2.37333342,0.00000000,0.12598430
-2.37253342,0.00000000,0.14173230
-2.37173342,0.03937008,0.12598430
-2.37093342,0.03937008,0.11023620
-2.37013342,0.11811020,0.12598430
-2.36933342,0.11811020,0.12598430
-2.36853342,0.11811020,0.12598430
-2.36773342,0.11811020,0.12598430
-2.36693342,0.11811020,0.11023620
-2.36613342,0.07874016,0.11023620
-2.36533342,0.03937008,0.12598430
-2.36453342,0.00000000,0.11023620
-2.36373342,0.00000000,0.11023620
-2.36293342,-0.03937008,0.11023620
-2.36213342,-0.03937008,0.12598430
-2.36133342,-0.03937008,0.12598430
-2.36053342,0.00000000,0.11023620
-2.35973342,0.03937008,0.12598430
-2.35893342,0.03937008,0.12598430
-2.35813342,0.03937008,0.14173230
-2.35733342,0.03937008,0.12598430
-2.35653342,0.07874016,0.12598430
-2.35573342,0.07874016,0.12598430
-2.35493342,0.11811020,0.12598430
-2.35413342,0.11811020,0.14173230
-2.35333342,0.11811020,0.14173230
-2.35253342,0.07874016,0.12598430
-2.35173342,0.07874016,0.14173230
-2.35093342,0.07874016,0.14173230
-2.35013342,0.00000000,0.14173230
-2.34933342,-0.03937008,0.12598430
-2.34853342,-0.07874016,0.12598430
-2.34773342,-0.07874016,0.14173230
-2.34693342,-0.03937008,0.14173230
-2.34613342,-0.03937008,0.14173230
-2.34533342,0.03937008,0.14173230
-2.34453342,0.07874016,0.14173230
-2.34373342,0.11811020,0.12598430
-2.34293342,0.11811020,0.14173230
-2.34213342,0.11811020,0.14173230
-2.34133342,0.11811020,0.14173230
-2.34053342,0.11811020,0.14173230
-2.33973342,0.07874016,0.12598430
-2.33893342,0.07874016,0.14173230
-2.33813342,0.07874016,0.14173230
-2.33733342,0.03937008,0.14173230
-2.33653342,0.03937008,0.14173230
-2.33573342,-0.03937008,0.14173230
-2.33493342,-0.03937008,0.12598430
-2.33413342,0.00000000,0.14173230
-2.33333342,0.00000000,0.14173230
-2.33253342,0.03937008,0.15748030
-2.33173342,0.03937008,0.14173230
-2.33093342,0.03937008,0.14173230
-2.33013342,0.07874016,0.15748030
-2.32933342,0.11811020,0.14173230
-2.32853342,0.15748030,0.14173230
-2.32773342,0.11811020,0.14173230
-2.32693342,0.11811020,0.14173230
-2.32613342,0.07874016,0.14173230
-2.32533342,0.03937008,0.14173230
-2.32453342,0.03937008,0.14173230
-2.32373342,-0.03937008,0.14173230
-2.32293342,-0.03937008,0.12598430
-2.32213342,-0.03937008,0.12598430
-2.32133342,0.00000000,0.14173230
-2.32053342,0.00000000,0.12598430
-2.31973342,0.03937008,0.12598430
-2.31893342,0.03937008,0.12598430
-2.31813342,0.03937008,0.14173230
-2.31733342,0.03937008,0.14173230
-2.31653342,0.07874016,0.12598430
-2.31573342,0.07874016,0.14173230
-2.31493342,0.11811020,0.14173230
-2.31413342,0.11811020,0.14173230
-2.31333342,0.11811020,0.14173230
-2.31253342,0.11811020,0.14173230
-2.31173342,0.03937008,0.14173230
-2.31093342,0.03937008,0.14173230
-2.31013342,0.00000000,0.14173230
-2.30933342,-0.03937008,0.14173230
-2.30853342,-0.03937008,0.14173230
-2.30773342,-0.03937008,0.14173230
-2.30693342,-0.03937008,0.14173230
-2.30613342,0.00000000,0.15748030
-2.30533342,0.03937008,0.14173230
-2.30453342,0.03937008,0.14173230
-2.30373342,0.07874016,0.14173230
-2.30293342,0.11811020,0.15748030
-2.30213342,0.11811020,0.15748030
-2.30133342,0.11811020,0.14173230
-2.30053342,0.11811020,0.14173230
-2.29973342,0.07874016,0.14173230
-2.29893342,0.07874016,0.14173230
-2.29813342,0.03937008,0.15748030
-2.29733342,0.03937008,0.14173230
-2.29653342,0.03937008,0.15748030
-2.29573342,0.00000000,0.15748030
-2.29493342,0.00000000,0.14173230
-2.29413342,0.00000000,0.15748030
-2.29333342,-0.03937008,0.14173230
-2.29253342,0.00000000,0.14173230
-2.29173342,0.00000000,0.15748030
-2.29093342,0.03937008,0.14173230
-2.29013342,0.07874016,0.14173230
-2.28933342,0.11811020,0.14173230
-2.28853342,0.15748030,0.15748030
-2.28773342,0.11811020,0.15748030
-2.28693342,0.11811020,0.14173230
-2.28613342,0.07874016,0.14173230
-2.28533342,0.03937008,0.14173230
-2.28453342,0.00000000,0.12598430
-2.28373342,0.00000000,0.12598430
-2.28293342,-0.03937008,0.12598430
-2.28213342,-0.03937008,0.12598430
-2.28133342,-0.03937008,0.12598430
-2.28053342,0.00000000,0.12598430
-2.27973342,0.03937008,0.12598430
-2.27893342,0.00000000,0.12598430
-2.27813342,0.03937008,0.12598430
-2.27733342,0.03937008,0.14173230
-2.27653342,0.07874016,0.12598430
-2.27573342,0.07874016,0.12598430
-2.27493342,0.11811020,0.12598430
-2.27413342,0.11811020,0.12598430
-2.27333342,0.11811020,0.12598430
-2.27253342,0.07874016,0.12598430
-2.27173342,0.07874016,0.14173230
-2.27093342,0.07874016,0.12598430
-2.27013342,0.00000000,0.12598430
-2.26933342,0.00000000,0.12598430
-2.26853342,-0.03937008,0.12598430
-2.26773342,-0.03937008,0.12598430
-2.26693342,-0.07874016,0.14173230
-2.26613342,0.00000000,0.14173230
-2.26533342,0.03937008,0.14173230
-2.26453342,0.07874016,0.14173230
-2.26373342,0.11811020,0.14173230
-2.26293342,0.11811020,0.14173230
-2.26213342,0.11811020,0.12598430
-2.26133342,0.11811020,0.14173230
-2.26053342,0.11811020,0.12598430
-2.25973342,0.11811020,0.12598430
-2.25893342,0.07874016,0.12598430
-2.25813342,0.07874016,0.12598430
-2.25733342,0.03937008,0.14173230
-2.25653342,0.03937008,0.14173230
-2.25573342,0.03937008,0.12598430
-2.25493342,0.00000000,0.12598430
-2.25413342,-0.03937008,0.12598430
-2.25333342,-0.03937008,0.12598430
-2.25253342,0.00000000,0.12598430
-2.25173342,0.00000000,0.12598430
-2.25093342,0.03937008,0.12598430
-2.25013342,0.07874016,0.12598430
-2.24933342,0.11811020,0.14173230
-2.24853342,0.11811020,0.14173230
-2.24773342,0.11811020,0.12598430
-2.24693342,0.07874016,0.12598430
-2.24613342,0.03937008,0.12598430
-2.24533342,0.03937008,0.12598430
-2.24453342,0.00000000,0.12598430
-2.24373342,0.00000000,0.12598430
-2.24293342,0.00000000,0.12598430
-2.24213342,-0.03937008,0.12598430
-2.24133342,0.00000000,0.11023620
-2.24053342,0.00000000,0.11023620
-2.23973342,0.03937008,0.11023620
-2.23893342,0.03937008,0.11023620
-2.23813342,0.03937008,0.12598430
-2.23733342,0.03937008,0.11023620
-2.23653342,0.07874016,0.11023620
-2.23573342,0.07874016,0.11023620
-2.23493342,0.11811020,0.11023620
-2.23413342,0.07874016,0.12598430
-2.23333342,0.11811020,0.11023620
-2.23253342,0.07874016,0.11023620
-2.23173342,0.07874016,0.12598430
-2.23093342,0.03937008,0.12598430
-2.23013342,0.00000000,0.12598430
-2.22933342,-0.03937008,0.12598430
-2.22853342,-0.07874016,0.11023620
-2.22773342,-0.07874016,0.12598430
-2.22693342,0.00000000,0.12598430
-2.22613342,0.00000000,0.12598430
-2.22533342,0.03937008,0.12598430
-2.22453342,0.07874016,0.12598430
-2.22373342,0.11811020,0.12598430
-2.22293342,0.11811020,0.14173230
-2.22213342,0.11811020,0.12598430
-2.22133342,0.11811020,0.12598430
-2.22053342,0.11811020,0.12598430
-2.21973342,0.07874016,0.12598430
