Model,MDO3014
Firmware Version,1.22

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-07,
Horizontal Delay,1.816e-05,
Sample Interval,4e-10,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,250
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,50
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH2,CH3
-1.840000e-06,0,-2
-1.839600e-06,0,-2
-1.839200e-06,0,-2
-1.838800e-06,0,-2
-1.838400e-06,-0.2,-2
-1.838000e-06,0,0
-1.837600e-06,0,0
-1.837200e-06,0,-2
-1.836800e-06,0,-2
-1.836400e-06,0,-2
-1.836000e-06,0,0
-1.835600e-06,0,0
-1.835200e-06,0,-2
-1.834800e-06,0,-2
-1.834400e-06,0,-2
-1.834000e-06,0,-2
-1.833600e-06,0,-2
-1.833200e-06,0,-2
-1.832800e-06,0,0
-1.832400e-06,0,-2
-1.832000e-06,0,-2
-1.831600e-06,0,-2
-1.831200e-06,0,-2
-1.830800e-06,0,0
-1.830400e-06,0,0
-1.830000e-06,0,-2
-1.829600e-06,0,0
-1.829200e-06,0,0
-1.828800e-06,0,-2
-1.828400e-06,0.2,-2
-1.828000e-06,0,0
-1.827600e-06,0,0
-1.827200e-06,0,-2
-1.826800e-06,0,0
-1.826400e-06,0.2,0
-1.826000e-06,0,0
-1.825600e-06,-0.2,0
-1.825200e-06,0,0
-1.824800e-06,0,0
-1.824400e-06,0,-2
-1.824000e-06,0,0
-1.823600e-06,0,0
-1.823200e-06,0,0
-1.822800e-06,0,0
-1.822400e-06,0,-2
-1.822000e-06,0,-2
-1.821600e-06,-0.2,-2
-1.821200e-06,0,0
-1.820800e-06,0,-2
-1.820400e-06,-0.2,0
-1.820000e-06,0,-2
-1.819600e-06,0,-2
-1.819200e-06,0,-2
-1.818800e-06,0,0
-1.818400e-06,0,0
-1.818000e-06,0,-2
-1.817600e-06,0,0
-1.817200e-06,0,-2
-1.816800e-06,0,-2
-1.816400e-06,0,-2
-1.816000e-06,-0.2,0
-1.815600e-06,0,0
-1.815200e-06,0,-2
-1.814800e-06,0,-2
-1.814400e-06,0,-2
-1.814000e-06,0,0
-1.813600e-06,-0.2,-2
-1.813200e-06,0,-2
-1.812800e-06,0.2,0
-1.812400e-06,0,0
-1.812000e-06,0,-2
-1.811600e-06,0,0
-1.811200e-06,0,0
-1.810800e-06,0,-2
-1.810400e-06,0,0
-1.810000e-06,0,-2
-1.809600e-06,0,-2
-1.809200e-06,0,-2
-1.808800e-06,0,0
-1.808400e-06,0,-2
-1.808000e-06,0,0
-1.807600e-06,-0.2,-2
-1.807200e-06,0,-2
-1.806800e-06,0,0
-1.806400e-06,0,0
-1.806000e-06,0,0
-1.805600e-06,0,-2
-1.805200e-06,0,0
-1.804800e-06,0,0
-1.804400e-06,0,0
-1.804000e-06,0,0
-1.803600e-06,0,-2
-1.803200e-06,0,0
-1.802800e-06,0.2,0
-1.802400e-06,0,0
-1.802000e-06,0,0
-1.801600e-06,0,0
-1.801200e-06,0,0
-1.800800e-06,0,-2
-1.800400e-06,0,0
-1.800000e-06,0,0
-1.799600e-06,0,0
